episode,agent0
1.000000000000000000e+00,4.278000000000000469e+00
5.010000000000000000e+02,4.318999999999998174e+00
1.001000000000000000e+03,4.737999999999998657e+00
1.501000000000000000e+03,4.667999999999999261e+00
2.001000000000000000e+03,4.746000000000000441e+00
2.501000000000000000e+03,4.959000000000000519e+00
3.001000000000000000e+03,4.798999999999999488e+00
3.501000000000000000e+03,4.934000000000000163e+00
4.001000000000000000e+03,4.913999999999999702e+00
4.501000000000000000e+03,4.860999999999998877e+00
5.001000000000000000e+03,4.935000000000000497e+00
5.501000000000000000e+03,4.953999999999998849e+00
6.001000000000000000e+03,5.136000000000001009e+00
6.501000000000000000e+03,5.000000000000000000e+00
7.001000000000000000e+03,4.739999999999999325e+00
7.501000000000000000e+03,4.692999999999999616e+00
8.001000000000000000e+03,4.543999999999999595e+00
8.501000000000000000e+03,4.258000000000000895e+00
9.001000000000000000e+03,4.288999999999999702e+00
9.501000000000000000e+03,3.991999999999999993e+00
1.000100000000000000e+04,3.805000000000000604e+00
1.050100000000000000e+04,3.697000000000000064e+00
1.100100000000000000e+04,3.471000000000000085e+00
1.150100000000000000e+04,3.453999999999999737e+00
1.200100000000000000e+04,3.243999999999999773e+00
1.250100000000000000e+04,3.177999999999999048e+00
1.300100000000000000e+04,2.795999999999999375e+00
1.350100000000000000e+04,2.819999999999999396e+00
1.400100000000000000e+04,2.692000000000000171e+00
1.450100000000000000e+04,2.650000000000000355e+00
1.500100000000000000e+04,2.730999999999999872e+00
1.550100000000000000e+04,2.628999999999999559e+00
1.600100000000000000e+04,2.349999999999999201e+00
1.650100000000000000e+04,2.112999999999999545e+00
1.700100000000000000e+04,2.104999999999999538e+00
1.750100000000000000e+04,1.907000000000000028e+00
1.800100000000000000e+04,1.634999999999999787e+00
1.850100000000000000e+04,1.784000000000000252e+00
1.900100000000000000e+04,1.584000000000000519e+00
1.950100000000000000e+04,1.634000000000000341e+00
2.000100000000000000e+04,1.456999999999999851e+00
2.050100000000000000e+04,1.231000000000000316e+00
2.100100000000000000e+04,1.435999999999999943e+00
2.150100000000000000e+04,1.347999999999999865e+00
2.200100000000000000e+04,1.283999999999999808e+00
2.250100000000000000e+04,1.237000000000000544e+00
2.300100000000000000e+04,1.036999999999999922e+00
2.350100000000000000e+04,1.087000000000000188e+00
2.400100000000000000e+04,1.062999999999999723e+00
2.450100000000000000e+04,8.399999999999998579e-01
2.500100000000000000e+04,7.719999999999997975e-01
2.550100000000000000e+04,7.930000000000001492e-01
2.600100000000000000e+04,7.789999999999999147e-01
2.650100000000000000e+04,7.050000000000000711e-01
2.700100000000000000e+04,5.959999999999996412e-01
2.750100000000000000e+04,5.819999999999998508e-01
2.800100000000000000e+04,5.090000000000003411e-01
2.850100000000000000e+04,5.369999999999999218e-01
2.900100000000000000e+04,5.840000000000005187e-01
2.950100000000000000e+04,1.669999999999998153e-01
3.000100000000000000e+04,1.170000000000002149e-01
3.050100000000000000e+04,8.800000000000007816e-02
3.100100000000000000e+04,5.600000000000004974e-02
3.150100000000000000e+04,-5.799999999999982947e-02
3.200100000000000000e+04,-1.590000000000000302e-01
3.250100000000000000e+04,-2.030000000000000693e-01
3.300100000000000000e+04,-2.469999999999998863e-01
3.350100000000000000e+04,-2.159999999999999698e-01
3.400100000000000000e+04,-2.449999999999996625e-01
3.450100000000000000e+04,-3.559999999999998721e-01
3.500100000000000000e+04,-2.410000000000001030e-01
3.550100000000000000e+04,-3.429999999999999716e-01
3.600100000000000000e+04,-2.510000000000001119e-01
3.650100000000000000e+04,-3.770000000000000018e-01
3.700100000000000000e+04,-2.680000000000002380e-01
3.750100000000000000e+04,-3.079999999999998295e-01
3.800100000000000000e+04,-2.130000000000000782e-01
3.850100000000000000e+04,-2.669999999999999041e-01
3.900100000000000000e+04,-2.660000000000000142e-01
3.950100000000000000e+04,-3.030000000000001581e-01
4.000100000000000000e+04,-1.199999999999998845e-01
4.050100000000000000e+04,-2.920000000000000373e-01
4.100100000000000000e+04,-4.010000000000000231e-01
4.150100000000000000e+04,-3.950000000000000178e-01
4.200100000000000000e+04,-2.429999999999998828e-01
4.250100000000000000e+04,-4.019999999999996909e-01
4.300100000000000000e+04,-3.699999999999998845e-01
4.350100000000000000e+04,-4.059999999999999165e-01
4.400100000000000000e+04,-2.829999999999999183e-01
4.450100000000000000e+04,-3.549999999999999822e-01
4.500100000000000000e+04,-2.059999999999999609e-01
4.550100000000000000e+04,-3.879999999999999005e-01
4.600100000000000000e+04,-3.430000000000004157e-01
4.650100000000000000e+04,-5.060000000000002274e-01
4.700100000000000000e+04,-9.699999999999997513e-02
4.750100000000000000e+04,-3.939999999999999059e-01
4.800100000000000000e+04,-2.740000000000000213e-01
4.850100000000000000e+04,-3.890000000000000124e-01
4.900100000000000000e+04,-2.829999999999999183e-01
4.950100000000000000e+04,-1.670000000000000373e-01
5.000100000000000000e+04,-3.340000000000000746e-01
5.050100000000000000e+04,-1.779999999999999361e-01
5.100100000000000000e+04,-4.659999999999999698e-01
5.150100000000000000e+04,-3.560000000000000941e-01
5.200100000000000000e+04,-2.730000000000001315e-01
5.250100000000000000e+04,-4.250000000000000444e-01
5.300100000000000000e+04,-3.740000000000001101e-01
5.350100000000000000e+04,-2.710000000000001297e-01
5.400100000000000000e+04,-3.209999999999999520e-01
5.450100000000000000e+04,-3.760000000000001119e-01
5.500100000000000000e+04,-3.149999999999999467e-01
5.550100000000000000e+04,-4.730000000000000870e-01
