episode,agent0
1.000000000000000000e+00,4.518999901078818660e+00
5.010000000000000000e+02,4.564376200312905141e+00
1.001000000000000000e+03,4.939012171571771859e+00
1.501000000000000000e+03,4.905559172249778221e+00
2.001000000000000000e+03,5.038653462784912662e+00
2.501000000000000000e+03,5.287067146297827591e+00
3.001000000000000000e+03,5.151948133980050137e+00
3.501000000000000000e+03,5.320301794559642694e+00
4.001000000000000000e+03,5.300903582407813452e+00
4.501000000000000000e+03,5.261464012465538964e+00
5.001000000000000000e+03,5.394125401606141068e+00
5.501000000000000000e+03,5.421370401801397065e+00
6.001000000000000000e+03,5.658618215985628197e+00
6.501000000000000000e+03,5.589144942437767050e+00
7.001000000000000000e+03,5.328666419629996653e+00
7.501000000000000000e+03,5.311853922925272364e+00
8.001000000000000000e+03,5.145588016901932349e+00
8.501000000000000000e+03,4.951849499762016826e+00
9.001000000000000000e+03,4.929646009961818898e+00
9.501000000000000000e+03,4.692786615397297467e+00
1.000100000000000000e+04,4.485731089344390909e+00
1.050100000000000000e+04,4.403182565856733177e+00
1.100100000000000000e+04,4.232763424482955728e+00
1.150100000000000000e+04,4.192430435775774455e+00
1.200100000000000000e+04,4.001095059606123883e+00
1.250100000000000000e+04,3.930678964977764256e+00
1.300100000000000000e+04,3.573255377131608679e+00
1.350100000000000000e+04,3.575644614881889449e+00
1.400100000000000000e+04,3.481130952073228535e+00
1.450100000000000000e+04,3.458602452630463286e+00
1.500100000000000000e+04,3.559082790836761490e+00
1.550100000000000000e+04,3.396273202764177768e+00
1.600100000000000000e+04,3.120382438013742821e+00
1.650100000000000000e+04,2.911281469357769325e+00
1.700100000000000000e+04,2.841372497042087719e+00
1.750100000000000000e+04,2.675213890215478951e+00
1.800100000000000000e+04,2.388229429058636555e+00
1.850100000000000000e+04,2.534358664959631469e+00
1.900100000000000000e+04,2.349068752779775338e+00
1.950100000000000000e+04,2.360774261294386278e+00
2.000100000000000000e+04,2.216326542878622075e+00
2.050100000000000000e+04,1.973762890618534271e+00
2.100100000000000000e+04,2.140780599960015795e+00
2.150100000000000000e+04,2.055524906360193249e+00
2.200100000000000000e+04,2.009322139521467765e+00
2.250100000000000000e+04,1.938552750062317642e+00
2.300100000000000000e+04,1.701920945917632988e+00
2.350100000000000000e+04,1.734751521742712965e+00
2.400100000000000000e+04,1.691586288364612445e+00
2.450100000000000000e+04,1.450268777507091489e+00
2.500100000000000000e+04,1.404971065626225535e+00
2.550100000000000000e+04,1.396303189051740556e+00
2.600100000000000000e+04,1.360287658633829722e+00
2.650100000000000000e+04,1.260817431896481544e+00
2.700100000000000000e+04,1.149089170098275936e+00
2.750100000000000000e+04,1.109713745434018239e+00
2.800100000000000000e+04,1.005535989108544248e+00
2.850100000000000000e+04,1.038708650433695313e+00
2.900100000000000000e+04,1.046207982276377901e+00
2.950100000000000000e+04,4.652442574803409281e-01
3.000100000000000000e+04,3.612505310536706649e-01
3.050100000000000000e+04,3.277696601323862868e-01
3.100100000000000000e+04,2.073282672867168552e-01
3.150100000000000000e+04,8.008465345576981642e-02
3.200100000000000000e+04,-3.253917412890269811e-02
3.250100000000000000e+04,-7.221086772976900714e-02
3.300100000000000000e+04,-1.484936249778724959e-01
3.350100000000000000e+04,-1.047562906048166292e-01
3.400100000000000000e+04,-1.287399879580253814e-01
3.450100000000000000e+04,-2.349252607683996186e-01
3.500100000000000000e+04,-1.205646510363341251e-01
3.550100000000000000e+04,-2.685335866312872355e-01
3.600100000000000000e+04,-1.324015932653394567e-01
3.650100000000000000e+04,-2.714908026757856807e-01
3.700100000000000000e+04,-1.720699988533307967e-01
3.750100000000000000e+04,-2.236869528483282354e-01
3.800100000000000000e+04,-1.266730382788784359e-01
3.850100000000000000e+04,-1.743740666983591425e-01
3.900100000000000000e+04,-1.415947988225572662e-01
3.950100000000000000e+04,-1.965323883991006160e-01
4.000100000000000000e+04,-2.787556241691338532e-02
4.050100000000000000e+04,-1.967728173261437119e-01
4.100100000000000000e+04,-3.241898673350970261e-01
4.150100000000000000e+04,-3.105806278156488798e-01
4.200100000000000000e+04,-1.544063370212066522e-01
4.250100000000000000e+04,-3.140629752607011493e-01
4.300100000000000000e+04,-2.900742744793641803e-01
4.350100000000000000e+04,-3.251044050643051575e-01
4.400100000000000000e+04,-1.850942232552132971e-01
4.450100000000000000e+04,-2.617464874656187379e-01
4.500100000000000000e+04,-1.072639494409463046e-01
4.550100000000000000e+04,-2.823181892660803216e-01
4.600100000000000000e+04,-2.269741601193945024e-01
4.650100000000000000e+04,-4.031513827025372532e-01
4.700100000000000000e+04,2.961361190646133457e-02
4.750100000000000000e+04,-3.195154373040962614e-01
4.800100000000000000e+04,-1.920180234441740685e-01
4.850100000000000000e+04,-2.968848998263585726e-01
4.900100000000000000e+04,-1.844936249778725279e-01
4.950100000000000000e+04,-7.314404909650111530e-02
5.000100000000000000e+04,-2.341091411589629745e-01
5.050100000000000000e+04,-7.993328638115780593e-02
5.100100000000000000e+04,-3.968302401334224405e-01
5.150100000000000000e+04,-2.522710239132768817e-01
5.200100000000000000e+04,-1.376552065279200709e-01
5.250100000000000000e+04,-3.773167786323113893e-01
5.300100000000000000e+04,-2.656436338741466896e-01
5.350100000000000000e+04,-1.779998296775754385e-01
5.400100000000000000e+04,-2.323102233625543023e-01
5.450100000000000000e+04,-2.860787473396863012e-01
5.500100000000000000e+04,-2.138415263064926686e-01
5.550100000000000000e+04,-3.825759040963085944e-01
5.600100000000000000e+04,-9.431459740299999450e-02
5.650100000000000000e+04,-2.643335484920256162e-01
5.700100000000000000e+04,-2.193393598321908278e-01
5.750100000000000000e+04,-3.044852757758138573e-01
5.800100000000000000e+04,-8.360064895288955855e-02
5.850100000000000000e+04,-1.391346030200656947e-01
5.900100000000000000e+04,-2.396347592096625123e-01
5.950100000000000000e+04,-1.936512068457209024e-01
