episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.311511597433811716e+01,-2.912125286282099523e+01,-2.981732549335933058e+01
5.010000000000000000e+02,-3.241780739090923902e+01,-2.834358400348586571e+01,-2.968678535117889794e+01
1.001000000000000000e+03,-3.140204665291753017e+01,-2.810887804899576281e+01,-2.907661311572036666e+01
1.501000000000000000e+03,-3.080654585756901298e+01,-2.822697511874105558e+01,-2.872094319044580146e+01
2.001000000000000000e+03,-3.016562757739767164e+01,-2.810876705923837093e+01,-2.854193558997086200e+01
2.501000000000000000e+03,-2.982686028281719004e+01,-2.782078478144371303e+01,-2.807622327777201221e+01
3.001000000000000000e+03,-2.956706152462530568e+01,-2.760475359426639486e+01,-2.769567576546885590e+01
3.501000000000000000e+03,-2.905425990225096911e+01,-2.705113325097395816e+01,-2.767974863336051072e+01
4.001000000000000000e+03,-2.880734987695172578e+01,-2.670468805779247390e+01,-2.742972084753528605e+01
4.501000000000000000e+03,-2.849225221865395241e+01,-2.671658160484553335e+01,-2.706206812461205047e+01
5.001000000000000000e+03,-2.838883598390963670e+01,-2.674918837450678311e+01,-2.657654466234684421e+01
5.501000000000000000e+03,-2.815502710966919508e+01,-2.656661388062683571e+01,-2.672501705764092605e+01
6.001000000000000000e+03,-2.801510080926374258e+01,-2.588695825793124072e+01,-2.606856255195816274e+01
6.501000000000000000e+03,-2.756962454300219889e+01,-2.614060476449128245e+01,-2.613067021458843087e+01
7.001000000000000000e+03,-2.768557204941273753e+01,-2.536115713020254248e+01,-2.621431124392880108e+01
7.501000000000000000e+03,-2.735779297996712955e+01,-2.511406991663475452e+01,-2.583803545162056281e+01
8.001000000000000000e+03,-2.748382747583197627e+01,-2.467015621111859858e+01,-2.509992460346179755e+01
8.501000000000000000e+03,-2.746108941364692058e+01,-2.432479030581948010e+01,-2.478079526933777998e+01
9.001000000000000000e+03,-2.732796951644209216e+01,-2.401863723320978394e+01,-2.453154002770895659e+01
9.501000000000000000e+03,-2.730703546265830894e+01,-2.394162226161585494e+01,-2.364034863099326245e+01
1.000100000000000000e+04,-2.713832365568669758e+01,-2.389176261023735393e+01,-2.373220934996502507e+01
1.050100000000000000e+04,-2.717544686903863393e+01,-2.316056164066310430e+01,-2.322277837322149452e+01
1.100100000000000000e+04,-2.708244963984337872e+01,-2.310361439211734691e+01,-2.312764957429515889e+01
1.150100000000000000e+04,-2.707698828173164074e+01,-2.320735149512752571e+01,-2.262317694557847858e+01
1.200100000000000000e+04,-2.706679597121802772e+01,-2.366081550552332402e+01,-2.306148148210506932e+01
1.250100000000000000e+04,-2.702520125253294836e+01,-2.295214246766942523e+01,-2.266807346525743938e+01
