episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.254899195013528868e+01,-2.824211029914842896e+01,-2.884027627939899929e+01
5.010000000000000000e+02,-3.190556461992879278e+01,-2.763581940966121664e+01,-2.878622248781046622e+01
1.001000000000000000e+03,-3.086295588627871922e+01,-2.742374111354849830e+01,-2.823568825688203532e+01
1.501000000000000000e+03,-3.036229434635843205e+01,-2.748416034534763952e+01,-2.796107369310046309e+01
2.001000000000000000e+03,-2.977344955026200779e+01,-2.742057311908896367e+01,-2.772736692039939754e+01
2.501000000000000000e+03,-2.945552120775453631e+01,-2.712520845362148947e+01,-2.741056605368521559e+01
3.001000000000000000e+03,-2.919030980048874468e+01,-2.697460224389057615e+01,-2.700383627853928559e+01
3.501000000000000000e+03,-2.880084489791078539e+01,-2.641426440480971749e+01,-2.708196076715510614e+01
4.001000000000000000e+03,-2.846566618390139070e+01,-2.607892221607614403e+01,-2.674711261384378602e+01
4.501000000000000000e+03,-2.822133376089395895e+01,-2.604777729896342819e+01,-2.644637356764260261e+01
5.001000000000000000e+03,-2.811198901988132803e+01,-2.610599756615657085e+01,-2.578908665992049620e+01
5.501000000000000000e+03,-2.790489390627628907e+01,-2.574124539400592582e+01,-2.582538946424246618e+01
6.001000000000000000e+03,-2.774843220408067879e+01,-2.511262279138361109e+01,-2.512952488373267812e+01
6.501000000000000000e+03,-2.739660401497106790e+01,-2.518533874145185436e+01,-2.492438244286878657e+01
7.001000000000000000e+03,-2.745562823889235915e+01,-2.430972980195603483e+01,-2.513086211650871604e+01
7.501000000000000000e+03,-2.710428647558867965e+01,-2.382451941081014724e+01,-2.446375748334568101e+01
8.001000000000000000e+03,-2.724113843211757313e+01,-2.304735522362060607e+01,-2.363836767963739049e+01
8.501000000000000000e+03,-2.723615417670017536e+01,-2.230640023405532446e+01,-2.322113638274799996e+01
9.001000000000000000e+03,-2.712247177913163654e+01,-2.185033964667642437e+01,-2.275321463709853731e+01
9.501000000000000000e+03,-2.713313752744349472e+01,-2.185694657657146323e+01,-2.164741852719435755e+01
1.000100000000000000e+04,-2.695514274905992735e+01,-2.171775575616796772e+01,-2.159159206661942676e+01
1.050100000000000000e+04,-2.696262608160821017e+01,-2.068487450933746175e+01,-2.086321431846078411e+01
1.100100000000000000e+04,-2.687899794107196527e+01,-2.083623318854811046e+01,-2.083607554631714365e+01
1.150100000000000000e+04,-2.687575484502982093e+01,-2.083189086605335305e+01,-2.015993347150517678e+01
1.200100000000000000e+04,-2.684403872374317501e+01,-2.134806449081160551e+01,-2.079251294547103868e+01
1.250100000000000000e+04,-2.686727304097417601e+01,-2.069581278816967895e+01,-2.042776625337049978e+01
1.300100000000000000e+04,-2.681871975490710724e+01,-2.060173813969903378e+01,-1.986008875118757189e+01
