episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.198286792593246020e+01,-2.736296773547586270e+01,-2.786322706543866801e+01
5.010000000000000000e+02,-3.139332184894834654e+01,-2.692805481583656757e+01,-2.788565962444203450e+01
1.001000000000000000e+03,-3.032386511963990827e+01,-2.673860417810123380e+01,-2.739476339804370397e+01
1.501000000000000000e+03,-2.991804283514785112e+01,-2.674134557195422346e+01,-2.720120419575512472e+01
2.001000000000000000e+03,-2.938127152312634394e+01,-2.673237917893955640e+01,-2.691279825082793309e+01
2.501000000000000000e+03,-2.908418213269188257e+01,-2.642963212579926591e+01,-2.674490882959841898e+01
3.001000000000000000e+03,-2.881355807635218369e+01,-2.634445089351475744e+01,-2.631199679160971527e+01
3.501000000000000000e+03,-2.854742989357060168e+01,-2.577739555864547683e+01,-2.648417290094970156e+01
4.001000000000000000e+03,-2.812398249085105562e+01,-2.545315637435981415e+01,-2.606450438015228599e+01
4.501000000000000000e+03,-2.795041530313396549e+01,-2.537897299308132304e+01,-2.583067901067315475e+01
5.001000000000000000e+03,-2.783514205585301937e+01,-2.546280675780635860e+01,-2.500162865749414820e+01
5.501000000000000000e+03,-2.765476070288338306e+01,-2.491587690738501593e+01,-2.492576187084400630e+01
6.001000000000000000e+03,-2.748176359889761500e+01,-2.433828732483598145e+01,-2.419048721550719350e+01
6.501000000000000000e+03,-2.722358348693993690e+01,-2.423007271841242627e+01,-2.371809467114914227e+01
7.001000000000000000e+03,-2.722568442837198077e+01,-2.325830247370952719e+01,-2.404741298908863101e+01
7.501000000000000000e+03,-2.685077997121022975e+01,-2.253496890498553995e+01,-2.308947951507079921e+01
8.001000000000000000e+03,-2.699844938840316999e+01,-2.142455423612261356e+01,-2.217681075581298344e+01
8.501000000000000000e+03,-2.701121893975343013e+01,-2.028801016229116883e+01,-2.166147749615821994e+01
9.001000000000000000e+03,-2.691697404182118092e+01,-1.968204206014306479e+01,-2.097488924648811803e+01
9.501000000000000000e+03,-2.695923959222868049e+01,-1.977227089152707151e+01,-1.965448842339545266e+01
1.000100000000000000e+04,-2.677196184243315713e+01,-1.954374890209858151e+01,-1.945097478327382845e+01
1.050100000000000000e+04,-2.674980529417778641e+01,-1.820918737801181919e+01,-1.850365026370007371e+01
1.100100000000000000e+04,-2.667554624230055182e+01,-1.856885198497887401e+01,-1.854450151833912841e+01
1.150100000000000000e+04,-2.667452140832800112e+01,-1.845643023697918039e+01,-1.769668999743187499e+01
1.200100000000000000e+04,-2.662128147626832231e+01,-1.903531347609988700e+01,-1.852354440883700804e+01
1.250100000000000000e+04,-2.670934482941540367e+01,-1.843948310866993268e+01,-1.818745904148356018e+01
1.300100000000000000e+04,-2.660036521911991514e+01,-1.825793269913953409e+01,-1.744096829814596816e+01
1.350100000000000000e+04,-2.659391937306165232e+01,-1.769906963118378940e+01,-1.776159082835355463e+01
1.400100000000000000e+04,-2.654198850426310230e+01,-1.784474956309776772e+01,-1.783192197340233776e+01
1.450100000000000000e+04,-2.658280647019584464e+01,-1.845080504808993993e+01,-1.764060901477875021e+01
1.500100000000000000e+04,-2.650201335303430739e+01,-1.698155406770150577e+01,-1.711788427823133674e+01
1.550100000000000000e+04,-2.650711426822138961e+01,-1.788717109989155318e+01,-1.719793717437352143e+01
1.600100000000000000e+04,-2.643882026663244744e+01,-1.651670206520337914e+01,-1.773641684215964887e+01
1.650100000000000000e+04,-2.646603957761487891e+01,-1.665804281964509315e+01,-1.735301049217515867e+01
1.700100000000000000e+04,-2.635563198855522771e+01,-1.691762099350922810e+01,-1.717084654801891830e+01
1.750100000000000000e+04,-2.637922010665539929e+01,-1.699538703094475878e+01,-1.745997195164208193e+01
1.800100000000000000e+04,-2.640509364190192443e+01,-1.734849838162676861e+01,-1.726999817732324871e+01
1.850100000000000000e+04,-2.636041649954034227e+01,-1.735991383618844353e+01,-1.673184781511266550e+01
1.900100000000000000e+04,-2.637388083085824064e+01,-1.663398667114179830e+01,-1.670093234264181348e+01
1.950100000000000000e+04,-2.637868050712526369e+01,-1.595482636701916057e+01,-1.689161347093034138e+01
2.000100000000000000e+04,-2.630170381024167980e+01,-1.634755262203117354e+01,-1.712477194035293948e+01
2.050100000000000000e+04,-2.639529962505069705e+01,-1.596813790966248803e+01,-1.688569645194434088e+01
2.100100000000000000e+04,-2.637809925048278359e+01,-1.643324697690687231e+01,-1.706822159228989477e+01
2.150100000000000000e+04,-2.625290325413064707e+01,-1.573316273618348404e+01,-1.674003208232555906e+01
2.200100000000000000e+04,-2.630135665778420773e+01,-1.508019560178236773e+01,-1.661218586055656132e+01
2.250100000000000000e+04,-2.632603276785822644e+01,-1.578920984965917995e+01,-1.679706368874520450e+01
2.300100000000000000e+04,-2.636076029928469922e+01,-1.488154614551127430e+01,-1.624609514624111029e+01
2.350100000000000000e+04,-2.630775806802767036e+01,-1.486223374499477679e+01,-1.672297085499876701e+01
2.400100000000000000e+04,-2.628967937381768039e+01,-1.538065698983055896e+01,-1.614209091257578521e+01
2.450100000000000000e+04,-2.634968046081480963e+01,-1.489360348972945935e+01,-1.604438248354923502e+01
2.500100000000000000e+04,-2.630643750166686345e+01,-1.527190375671674616e+01,-1.639197233477120719e+01
2.550100000000000000e+04,-2.624259555918229836e+01,-1.557539653696499471e+01,-1.672773970210697314e+01
2.600100000000000000e+04,-2.625966440234662613e+01,-1.478114426250426305e+01,-1.685694078394588047e+01
2.650100000000000000e+04,-2.627369892475129021e+01,-1.438679292263006815e+01,-1.674553024084258368e+01
2.700100000000000000e+04,-2.624965676276336168e+01,-1.457607744639368441e+01,-1.668689273028620690e+01
2.750100000000000000e+04,-2.625075814978318789e+01,-1.513336965182276828e+01,-1.585346204777028589e+01
2.800100000000000000e+04,-2.627540184113803434e+01,-1.494369672182796727e+01,-1.622995237351168640e+01
2.850100000000000000e+04,-2.626847748237868885e+01,-1.414703964224311861e+01,-1.629003211633830261e+01
2.900100000000000000e+04,-2.623750154752737984e+01,-1.484159913508402084e+01,-1.598484304897874075e+01
2.950100000000000000e+04,-2.617172898677378257e+01,-1.428399102254925879e+01,-1.557387382320502311e+01
3.000100000000000000e+04,-2.620704707661349886e+01,-1.438245871699041700e+01,-1.622226622248115291e+01
3.050100000000000000e+04,-2.617139926002667139e+01,-1.449493099632416460e+01,-1.596334981283999710e+01
3.100100000000000000e+04,-2.618419205814756268e+01,-1.429014298573340547e+01,-1.568909374032594961e+01
3.150100000000000000e+04,-2.617350132873382407e+01,-1.389534430339027971e+01,-1.588033972238596903e+01
3.200100000000000000e+04,-2.615793971564355047e+01,-1.356820379167940160e+01,-1.545701763605148393e+01
3.250100000000000000e+04,-2.616055009687108068e+01,-1.407756168913354600e+01,-1.569917937616327208e+01
3.300100000000000000e+04,-2.616214570248306615e+01,-1.368852411409848102e+01,-1.576545297840672610e+01
3.350100000000000000e+04,-2.614427239450645502e+01,-1.391673742994497154e+01,-1.527187519365968171e+01
3.400100000000000000e+04,-2.613229649265995391e+01,-1.378929078950947407e+01,-1.594376764229891918e+01
3.450100000000000000e+04,-2.610204115992214824e+01,-1.403274139159240974e+01,-1.584790628719700578e+01
3.500100000000000000e+04,-2.615996065502002921e+01,-1.369255518970438779e+01,-1.563120478017077275e+01
