episode,agent0
1.000000000000000000e+00,3.846474747003211903e+00
5.010000000000000000e+02,4.140534429653023984e+00
1.001000000000000000e+03,4.493708537000790315e+00
1.501000000000000000e+03,4.746299206164984241e+00
2.001000000000000000e+03,4.850376291092882042e+00
2.501000000000000000e+03,5.031001658561742751e+00
3.001000000000000000e+03,5.209601318901144751e+00
3.501000000000000000e+03,5.108176667847861729e+00
4.001000000000000000e+03,5.327341248573890908e+00
4.501000000000000000e+03,5.365012925731992510e+00
5.001000000000000000e+03,5.495407590379332241e+00
5.501000000000000000e+03,5.462709508455953156e+00
6.001000000000000000e+03,5.396130597084511038e+00
6.501000000000000000e+03,5.643679562009174866e+00
7.001000000000000000e+03,5.621350331980754511e+00
7.501000000000000000e+03,5.596525724350848385e+00
8.001000000000000000e+03,5.845891365528565586e+00
8.501000000000000000e+03,5.871987713468699077e+00
9.001000000000000000e+03,5.724976668587876460e+00
9.501000000000000000e+03,5.853537200176731403e+00
1.000100000000000000e+04,5.755566398783263260e+00
1.050100000000000000e+04,5.879500935293762609e+00
1.100100000000000000e+04,5.823030920859960879e+00
1.150100000000000000e+04,5.904073712706324528e+00
1.200100000000000000e+04,5.880009896436341421e+00
1.250100000000000000e+04,5.911180634988659754e+00
1.300100000000000000e+04,6.014558421527318011e+00
1.350100000000000000e+04,6.180100996858620022e+00
1.400100000000000000e+04,6.148786166196777536e+00
1.450100000000000000e+04,6.174674847436512515e+00
1.500100000000000000e+04,5.978488521143551893e+00
1.550100000000000000e+04,5.895804645528340160e+00
1.600100000000000000e+04,6.025501520464575655e+00
1.650100000000000000e+04,5.825788133252576273e+00
1.700100000000000000e+04,5.517626990039012469e+00
1.750100000000000000e+04,5.716579289223764349e+00
1.800100000000000000e+04,5.506743148243517183e+00
1.850100000000000000e+04,5.382308030984274794e+00
1.900100000000000000e+04,5.327647849697592086e+00
1.950100000000000000e+04,5.375372410567518244e+00
2.000100000000000000e+04,5.342317939162899876e+00
2.050100000000000000e+04,5.299910681496089460e+00
2.100100000000000000e+04,4.919867785834788343e+00
2.150100000000000000e+04,5.085169734330694524e+00
2.200100000000000000e+04,5.348144744804532280e+00
2.250100000000000000e+04,5.032665127432898622e+00
2.300100000000000000e+04,4.987010400553301359e+00
2.350100000000000000e+04,4.782342400850728481e+00
2.400100000000000000e+04,4.844476274255382187e+00
2.450100000000000000e+04,5.008702536903923530e+00
2.500100000000000000e+04,4.897544023607848018e+00
2.550100000000000000e+04,4.972498906247689199e+00
2.600100000000000000e+04,4.906315057291128490e+00
2.650100000000000000e+04,4.879877071699143976e+00
2.700100000000000000e+04,4.783991995349332171e+00
2.750100000000000000e+04,4.899096821887748199e+00
2.800100000000000000e+04,4.929039403082590809e+00
2.850100000000000000e+04,4.787215157682143563e+00
2.900100000000000000e+04,4.915008608174835203e+00
2.950100000000000000e+04,4.793418240757367776e+00
3.000100000000000000e+04,4.952730772008282045e+00
3.050100000000000000e+04,4.927598659515432189e+00
3.100100000000000000e+04,5.060367423749625893e+00
3.150100000000000000e+04,5.149054314089593021e+00
3.200100000000000000e+04,4.960594022112219115e+00
3.250100000000000000e+04,5.083018143755635876e+00
3.300100000000000000e+04,5.221832794839313507e+00
3.350100000000000000e+04,5.145038054187566878e+00
3.400100000000000000e+04,4.956523692950407955e+00
3.450100000000000000e+04,4.991003673086304993e+00
3.500100000000000000e+04,4.968536765971117930e+00
3.550100000000000000e+04,4.816812043648257102e+00
3.600100000000000000e+04,4.655807286183455851e+00
3.650100000000000000e+04,4.655648768747954414e+00
3.700100000000000000e+04,4.729397738728693845e+00
3.750100000000000000e+04,4.827585869447102773e+00
3.800100000000000000e+04,4.743838383388824909e+00
3.850100000000000000e+04,4.790959272430368010e+00
3.900100000000000000e+04,5.016370172089402502e+00
3.950100000000000000e+04,4.870474714965415508e+00
4.000100000000000000e+04,4.792678576652967593e+00
4.050100000000000000e+04,4.838813854793977853e+00
4.100100000000000000e+04,4.831583211090928920e+00
4.150100000000000000e+04,4.786121091380262094e+00
4.200100000000000000e+04,4.793740856341530687e+00
4.250100000000000000e+04,4.756476068573887162e+00
4.300100000000000000e+04,4.841362534304376908e+00
4.350100000000000000e+04,4.933868762975341049e+00
4.400100000000000000e+04,5.021635852593517413e+00
4.450100000000000000e+04,5.235576020763723193e+00
4.500100000000000000e+04,5.081596288896450986e+00
4.550100000000000000e+04,5.072097810265585593e+00
4.600100000000000000e+04,5.013991066432112120e+00
4.650100000000000000e+04,5.132958404957687293e+00
4.700100000000000000e+04,5.237472613027126300e+00
4.750100000000000000e+04,5.472761160091978994e+00
4.800100000000000000e+04,5.330797671434089224e+00
4.850100000000000000e+04,5.272894875713891594e+00
4.900100000000000000e+04,5.152012476554692633e+00
4.950100000000000000e+04,5.158903833951964835e+00
5.000100000000000000e+04,5.222214578061528556e+00
5.050100000000000000e+04,5.294893369994262855e+00
5.100100000000000000e+04,5.219590099266995686e+00
5.150100000000000000e+04,5.169250654218370045e+00
5.200100000000000000e+04,5.349098303345736660e+00
5.250100000000000000e+04,5.260063890887487936e+00
5.300100000000000000e+04,5.509989321615538671e+00
5.350100000000000000e+04,5.345866036127291387e+00
5.400100000000000000e+04,5.329452768325364964e+00
5.450100000000000000e+04,5.239200195701990026e+00
5.500100000000000000e+04,5.455641384349121381e+00
5.550100000000000000e+04,5.404800762722087981e+00
5.600100000000000000e+04,5.455333789722986992e+00
5.650100000000000000e+04,5.450197901786670407e+00
5.700100000000000000e+04,5.522629036495546373e+00
5.750100000000000000e+04,5.536072443882604333e+00
5.800100000000000000e+04,5.267589311431555288e+00
5.850100000000000000e+04,5.308668844851337276e+00
5.900100000000000000e+04,5.346244043474295715e+00
5.950100000000000000e+04,5.104972765906660825e+00
6.000100000000000000e+04,5.148694558046961411e+00
6.050100000000000000e+04,5.185811799618393891e+00
6.100100000000000000e+04,5.507274274767821609e+00
6.150100000000000000e+04,5.259873619922705856e+00
6.200100000000000000e+04,5.278322856178998101e+00
6.250100000000000000e+04,5.377673399988146308e+00
6.300100000000000000e+04,5.204240404697038969e+00
6.350100000000000000e+04,5.230198310716403398e+00
6.400100000000000000e+04,5.084678655438053418e+00
6.450100000000000000e+04,5.036995461908176708e+00
6.500100000000000000e+04,5.093237348265929221e+00
6.550100000000000000e+04,4.927645842911813290e+00
6.600100000000000000e+04,5.026019082699148655e+00
6.650100000000000000e+04,4.890191052103589620e+00
6.700100000000000000e+04,4.704686348713293498e+00
6.750100000000000000e+04,4.647222761593311269e+00
6.800100000000000000e+04,4.790788658351689655e+00
6.850100000000000000e+04,4.789929072140877153e+00
6.900100000000000000e+04,4.680072125153954765e+00
6.950100000000000000e+04,4.556619983844534261e+00
7.000100000000000000e+04,4.616292240502467337e+00
7.050100000000000000e+04,4.498976740676449815e+00
7.100100000000000000e+04,4.511750849871137170e+00
7.150100000000000000e+04,4.649219713399129539e+00
