episode,agent0
1.000000000000000000e+00,4.425104200365208129e+00
5.010000000000000000e+02,4.779465570346977721e+00
1.001000000000000000e+03,5.179975673525525792e+00
1.501000000000000000e+03,5.335806056992909774e+00
2.001000000000000000e+03,5.509623708907117390e+00
2.501000000000000000e+03,5.737419394069838141e+00
3.001000000000000000e+03,5.916714470572541629e+00
3.501000000000000000e+03,5.881297016362664998e+00
4.001000000000000000e+03,6.022132435636637027e+00
4.501000000000000000e+03,6.089723916373269930e+00
5.001000000000000000e+03,6.209855567515403685e+00
5.501000000000000000e+03,6.267816807333520757e+00
6.001000000000000000e+03,6.224922034494436929e+00
6.501000000000000000e+03,6.438425701148719149e+00
7.001000000000000000e+03,6.530228615387666302e+00
7.501000000000000000e+03,6.472947959859680189e+00
8.001000000000000000e+03,6.667792844997752155e+00
8.501000000000000000e+03,6.589064918110245195e+00
9.001000000000000000e+03,6.508707541938438368e+00
9.501000000000000000e+03,6.643304905086425904e+00
1.000100000000000000e+04,6.560223074900947360e+00
1.050100000000000000e+04,6.604709591022029258e+00
1.100100000000000000e+04,6.638021710718985169e+00
1.150100000000000000e+04,6.767505234662099411e+00
1.200100000000000000e+04,6.719990103563658224e+00
1.250100000000000000e+04,6.796187786063971892e+00
1.300100000000000000e+04,6.785441578472680924e+00
1.350100000000000000e+04,6.853583213667697294e+00
1.400100000000000000e+04,6.876476991697956898e+00
1.450100000000000000e+04,6.871640942037168465e+00
1.500100000000000000e+04,6.716248320961710760e+00
1.550100000000000000e+04,6.748405880787450073e+00
1.600100000000000000e+04,6.856603742693319070e+00
1.650100000000000000e+04,6.761580287800054379e+00
1.700100000000000000e+04,6.631846694171516177e+00
1.750100000000000000e+04,6.786578605513078344e+00
1.800100000000000000e+04,6.686941062282796722e+00
1.850100000000000000e+04,6.678744600594674452e+00
1.900100000000000000e+04,6.571299518723459521e+00
1.950100000000000000e+04,6.656206536800903351e+00
2.000100000000000000e+04,6.455576797679203338e+00
2.050100000000000000e+04,6.556931423767070832e+00
2.100100000000000000e+04,6.219079582586263477e+00
2.150100000000000000e+04,6.316935528827203328e+00
2.200100000000000000e+04,6.531855255195468501e+00
2.250100000000000000e+04,6.314703293619733593e+00
2.300100000000000000e+04,6.305621178394063442e+00
2.350100000000000000e+04,6.106078651780849853e+00
2.400100000000000000e+04,6.170260567849878974e+00
2.450100000000000000e+04,6.304981673622394922e+00
2.500100000000000000e+04,6.201403344813204654e+00
2.550100000000000000e+04,6.318027409541783435e+00
2.600100000000000000e+04,6.283158626919395751e+00
2.650100000000000000e+04,6.284333454616645831e+00
2.700100000000000000e+04,6.232850109913824710e+00
2.750100000000000000e+04,6.357745283375408896e+00
2.800100000000000000e+04,6.359381649548986104e+00
2.850100000000000000e+04,6.216995368633644325e+00
2.900100000000000000e+04,6.318675602351479625e+00
2.950100000000000000e+04,6.273950180295261525e+00
3.000100000000000000e+04,6.428321859570665708e+00
3.050100000000000000e+04,6.457664498379303453e+00
3.100100000000000000e+04,6.562790470987214242e+00
3.150100000000000000e+04,6.640419370120932641e+00
3.200100000000000000e+04,6.517300714729889144e+00
3.250100000000000000e+04,6.599087119402261337e+00
3.300100000000000000e+04,6.755009310423847779e+00
3.350100000000000000e+04,6.678119840549274322e+00
3.400100000000000000e+04,6.643476307049591689e+00
3.450100000000000000e+04,6.583733169018956666e+00
3.500100000000000000e+04,6.519884286660461825e+00
3.550100000000000000e+04,6.454766903720164706e+00
3.600100000000000000e+04,6.344192713816544149e+00
3.650100000000000000e+04,6.390667020725730119e+00
3.700100000000000000e+04,6.439023313902887402e+00
3.750100000000000000e+04,6.549256235816057092e+00
3.800100000000000000e+04,6.517214248190121850e+00
3.850100000000000000e+04,6.476409148622262357e+00
3.900100000000000000e+04,6.627840354226387731e+00
3.950100000000000000e+04,6.525314758718793406e+00
4.000100000000000000e+04,6.493637212820713600e+00
4.050100000000000000e+04,6.502238776784970753e+00
4.100100000000000000e+04,6.547364157330126666e+00
4.150100000000000000e+04,6.552826277040790792e+00
4.200100000000000000e+04,6.519943354184784212e+00
4.250100000000000000e+04,6.470892352478747611e+00
4.300100000000000000e+04,6.537584834116675125e+00
4.350100000000000000e+04,6.598762815972031071e+00
4.400100000000000000e+04,6.757311515827534976e+00
4.450100000000000000e+04,6.819160821341538892e+00
4.500100000000000000e+04,6.709982658471968620e+00
4.550100000000000000e+04,6.782639031839677202e+00
4.600100000000000000e+04,6.746008933567887667e+00
4.650100000000000000e+04,6.864936331884420539e+00
4.700100000000000000e+04,6.878316860657083254e+00
4.750100000000000000e+04,7.057765155697490300e+00
4.800100000000000000e+04,6.944991802250122248e+00
4.850100000000000000e+04,6.851315650601895513e+00
4.900100000000000000e+04,6.795355944497935674e+00
4.950100000000000000e+04,6.830569850258558340e+00
5.000100000000000000e+04,6.840943316675312857e+00
5.050100000000000000e+04,6.915632945795207931e+00
5.100100000000000000e+04,6.921462532311951854e+00
5.150100000000000000e+04,6.845486187886891116e+00
5.200100000000000000e+04,7.015112222970054212e+00
5.250100000000000000e+04,6.956778214375670011e+00
5.300100000000000000e+04,7.020536994173934175e+00
5.350100000000000000e+04,6.934133963872704420e+00
5.400100000000000000e+04,6.925284073779899963e+00
5.450100000000000000e+04,6.819747172719063499e+00
5.500100000000000000e+04,7.001200720914036779e+00
5.550100000000000000e+04,6.972041342541071884e+00
5.600100000000000000e+04,7.009929368171748720e+00
5.650100000000000000e+04,6.998223150844910201e+00
5.700100000000000000e+04,7.064739384557086055e+00
5.750100000000000000e+04,6.950243345591077926e+00
5.800100000000000000e+04,6.799779109621077566e+00
5.850100000000000000e+04,6.830278523569714544e+00
5.900100000000000000e+04,6.925334903894126093e+00
5.950100000000000000e+04,6.730816707777549368e+00
6.000100000000000000e+04,6.773410705110932462e+00
6.050100000000000000e+04,6.784714516171080234e+00
6.100100000000000000e+04,6.970620462074283097e+00
6.150100000000000000e+04,6.862231643235189082e+00
6.200100000000000000e+04,6.896413985926264978e+00
6.250100000000000000e+04,6.971800284222379851e+00
6.300100000000000000e+04,6.901022753197697313e+00
6.350100000000000000e+04,6.885591162967804379e+00
6.400100000000000000e+04,6.793216081404051643e+00
6.450100000000000000e+04,6.790372959144454157e+00
6.500100000000000000e+04,6.702552125418281825e+00
6.550100000000000000e+04,6.663933104456605250e+00
6.600100000000000000e+04,6.721349338353482139e+00
6.650100000000000000e+04,6.568756316317464261e+00
6.700100000000000000e+04,6.484787335497230742e+00
6.750100000000000000e+04,6.462250922617214677e+00
6.800100000000000000e+04,6.602895552174627092e+00
6.850100000000000000e+04,6.565860401543332614e+00
6.900100000000000000e+04,6.498875243267096202e+00
6.950100000000000000e+04,6.390748437208097599e+00
7.000100000000000000e+04,6.436339338444900804e+00
7.050100000000000000e+04,6.372602206691971638e+00
7.100100000000000000e+04,6.427196518549917137e+00
7.150100000000000000e+04,6.485517128706134393e+00
7.200100000000000000e+04,6.516819064331926370e+00
7.250100000000000000e+04,6.499010834665755354e+00
7.300100000000000000e+04,6.524846306460705847e+00
7.350100000000000000e+04,6.430859655516311335e+00
7.400100000000000000e+04,6.485212265482941163e+00
7.450100000000000000e+04,6.571185049996071115e+00
7.500100000000000000e+04,6.435692243037433258e+00
7.550100000000000000e+04,6.542104235671984291e+00
7.600100000000000000e+04,6.660907519542170974e+00
7.650100000000000000e+04,6.501267256336291211e+00
7.700100000000000000e+04,6.508679422092527034e+00
7.750100000000000000e+04,6.478865871383806763e+00
7.800100000000000000e+04,6.446948103405849118e+00
7.850100000000000000e+04,6.486113112087121380e+00
7.900100000000000000e+04,6.463530454215479004e+00
7.950100000000000000e+04,6.427575652398951789e+00
8.000100000000000000e+04,6.566936344975021100e+00
8.050100000000000000e+04,6.536983569747478739e+00
8.100100000000000000e+04,6.592443661178714720e+00
8.150100000000000000e+04,6.594314488127539953e+00
8.200100000000000000e+04,6.525754869405041347e+00
8.250100000000000000e+04,6.625729493402944037e+00
8.300100000000000000e+04,6.607773720863406197e+00
8.350100000000000000e+04,6.622757176838359072e+00
8.400100000000000000e+04,6.657565022815012057e+00
8.450100000000000000e+04,6.479884485527857230e+00
8.500100000000000000e+04,6.399383747651017806e+00
8.550100000000000000e+04,6.425747450737540944e+00
8.600100000000000000e+04,6.348199562466833257e+00
8.650100000000000000e+04,6.349451612669411382e+00
8.700100000000000000e+04,6.334262815901826826e+00
8.750100000000000000e+04,6.245392002815005839e+00
8.800100000000000000e+04,6.328771102814928717e+00
8.850100000000000000e+04,6.151236850534091971e+00
8.900100000000000000e+04,6.284679562102343020e+00
8.950100000000000000e+04,6.272167885143469235e+00
9.000100000000000000e+04,6.280762960018945407e+00
9.050100000000000000e+04,6.353559697357842317e+00
9.100100000000000000e+04,6.309949477467071688e+00
9.150100000000000000e+04,6.146270021052639088e+00
9.200100000000000000e+04,6.258216171712199127e+00
9.250100000000000000e+04,6.239926010075748763e+00
9.300100000000000000e+04,6.342992151353826102e+00
9.350100000000000000e+04,6.398533772723872914e+00
