episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.242993103090116591e+01,-2.738160277760485073e+01,-2.934212333673530182e+01
5.010000000000000000e+02,-3.169790394511349518e+01,-2.702563780895782131e+01,-2.862430673658146674e+01
1.001000000000000000e+03,-3.035743619749741029e+01,-2.666383073329589948e+01,-2.849686292736751625e+01
1.501000000000000000e+03,-2.988318451307570811e+01,-2.649845957904495819e+01,-2.808773860607958639e+01
2.001000000000000000e+03,-2.948031819372334539e+01,-2.634506222927131702e+01,-2.758690656891507587e+01
2.501000000000000000e+03,-2.908820636373755519e+01,-2.619067313547883558e+01,-2.730093452989247993e+01
3.001000000000000000e+03,-2.869656352234360952e+01,-2.596439738028387012e+01,-2.695236050091650171e+01
3.501000000000000000e+03,-2.860448398608063769e+01,-2.547182969140210673e+01,-2.697287634148094071e+01
4.001000000000000000e+03,-2.817124153899345984e+01,-2.569236605528214312e+01,-2.689211548433296528e+01
4.501000000000000000e+03,-2.822732696186744050e+01,-2.527162701059053163e+01,-2.660334375812913166e+01
5.001000000000000000e+03,-2.793618913990747643e+01,-2.492321154019435880e+01,-2.622627838086203411e+01
5.501000000000000000e+03,-2.757489699754961876e+01,-2.417267431339650230e+01,-2.622678210704567903e+01
6.001000000000000000e+03,-2.780406568513022236e+01,-2.359240891193267231e+01,-2.592394633603860754e+01
6.501000000000000000e+03,-2.753338266870461837e+01,-2.289153274529737203e+01,-2.564436455486559652e+01
7.001000000000000000e+03,-2.743927633292826940e+01,-2.209991135130101725e+01,-2.534524408174861421e+01
7.501000000000000000e+03,-2.742192172137323070e+01,-2.163493464721845783e+01,-2.519370002063785563e+01
8.001000000000000000e+03,-2.723792103153743938e+01,-2.080087733931187799e+01,-2.482299644535571304e+01
8.501000000000000000e+03,-2.719225289116074862e+01,-1.989751655804579045e+01,-2.417930735149800725e+01
9.001000000000000000e+03,-2.712115397542484629e+01,-1.952059822314834747e+01,-2.384842714219244186e+01
9.501000000000000000e+03,-2.704324659706781731e+01,-1.908749890942890559e+01,-2.375608141926722183e+01
1.000100000000000000e+04,-2.695204017696567789e+01,-1.834477284700173172e+01,-2.364903047478157916e+01
1.050100000000000000e+04,-2.685992536736977243e+01,-1.798129269902469929e+01,-2.327156170068108665e+01
1.100100000000000000e+04,-2.685858831302120109e+01,-1.738655807283740273e+01,-2.332219572465191959e+01
1.150100000000000000e+04,-2.684859409539721398e+01,-1.766041265647033853e+01,-2.327656521640988174e+01
1.200100000000000000e+04,-2.668507239167796996e+01,-1.693873566659924990e+01,-2.314283070777402074e+01
1.250100000000000000e+04,-2.683473283925661335e+01,-1.664580489760011162e+01,-2.284727209318030106e+01
1.300100000000000000e+04,-2.666643887488597287e+01,-1.581606851332285757e+01,-2.243567719588672915e+01
1.350100000000000000e+04,-2.672712496356203005e+01,-1.579877997677074930e+01,-2.245197600487071554e+01
1.400100000000000000e+04,-2.674241735166187439e+01,-1.585686601114530170e+01,-2.221292969052792898e+01
1.450100000000000000e+04,-2.662079502578248125e+01,-1.526688422071518936e+01,-2.185468687817530054e+01
1.500100000000000000e+04,-2.659485157093278218e+01,-1.559030349480992506e+01,-2.222748304711500111e+01
1.550100000000000000e+04,-2.659155672594620157e+01,-1.507413691676571510e+01,-2.197194871668165206e+01
1.600100000000000000e+04,-2.649105764572172461e+01,-1.489873756341176581e+01,-2.157011227213740767e+01
1.650100000000000000e+04,-2.657210737039435955e+01,-1.511291210707609167e+01,-2.161696603365624370e+01
1.700100000000000000e+04,-2.656506149593759147e+01,-1.553415992564612758e+01,-2.143665068272202845e+01
1.750100000000000000e+04,-2.655498724674909283e+01,-1.540525026043842161e+01,-2.141130056470187526e+01
1.800100000000000000e+04,-2.659191987244161481e+01,-1.491554639775619862e+01,-2.098481163439646835e+01
1.850100000000000000e+04,-2.652626853824717656e+01,-1.507766909706499803e+01,-2.119464031728496067e+01
1.900100000000000000e+04,-2.657651880906950836e+01,-1.510108421764875963e+01,-2.064391594343041092e+01
1.950100000000000000e+04,-2.653101645064176139e+01,-1.451122310619439659e+01,-2.006805532211003751e+01
2.000100000000000000e+04,-2.641160403464503759e+01,-1.440795068135308199e+01,-2.010213680581150086e+01
2.050100000000000000e+04,-2.654599690669890677e+01,-1.423947907985060013e+01,-2.006549579076943957e+01
2.100100000000000000e+04,-2.647654526057345237e+01,-1.452311065218593988e+01,-1.968143577890883122e+01
2.150100000000000000e+04,-2.642880963404815375e+01,-1.415525754754195553e+01,-1.934121750941646312e+01
2.200100000000000000e+04,-2.642189937276623368e+01,-1.444148062198003402e+01,-1.955723821353045011e+01
2.250100000000000000e+04,-2.639811828610202937e+01,-1.457455856163357488e+01,-1.922003389150229324e+01
2.300100000000000000e+04,-2.640126656674172878e+01,-1.428084174230499848e+01,-1.924107677418135154e+01
2.350100000000000000e+04,-2.642996599225710241e+01,-1.413172785295541267e+01,-1.879635361324868725e+01
2.400100000000000000e+04,-2.643725506693785832e+01,-1.358611559189112938e+01,-1.870459780609296985e+01
2.450100000000000000e+04,-2.637159284093135270e+01,-1.337323108962037566e+01,-1.844262890390000109e+01
2.500100000000000000e+04,-2.643575021354135401e+01,-1.344031530072533798e+01,-1.833981416651815621e+01
2.550100000000000000e+04,-2.635060403516627758e+01,-1.346700093695770661e+01,-1.878754349629631548e+01
2.600100000000000000e+04,-2.632639541332259014e+01,-1.324004069389263272e+01,-1.792340802012601131e+01
2.650100000000000000e+04,-2.633413098970781618e+01,-1.337663436426624131e+01,-1.799174782053056276e+01
2.700100000000000000e+04,-2.635466909775382760e+01,-1.344705535967578847e+01,-1.871790794534635438e+01
2.750100000000000000e+04,-2.635375532938616416e+01,-1.333614138763139145e+01,-1.807705293303556005e+01
2.800100000000000000e+04,-2.627028930332638623e+01,-1.269833366515390871e+01,-1.769050603646774533e+01
2.850100000000000000e+04,-2.626435613082819032e+01,-1.342250751400695385e+01,-1.763184064913875915e+01
2.900100000000000000e+04,-2.636954131557296677e+01,-1.279437694713443641e+01,-1.793576248257188155e+01
2.950100000000000000e+04,-2.626431742183273954e+01,-1.247628247463699225e+01,-1.772861652699898727e+01
3.000100000000000000e+04,-2.632953427243826994e+01,-1.250592919762939736e+01,-1.772541112124834584e+01
3.050100000000000000e+04,-2.630971957265466088e+01,-1.271981051058594048e+01,-1.770717898079962183e+01
3.100100000000000000e+04,-2.625142517790244057e+01,-1.263484168761112691e+01,-1.705651205603875908e+01
3.150100000000000000e+04,-2.632756542971413438e+01,-1.265211196067691901e+01,-1.728146847409909626e+01
3.200100000000000000e+04,-2.629892612198800705e+01,-1.243458982896037668e+01,-1.756337022091672750e+01
3.250100000000000000e+04,-2.627101035024480780e+01,-1.234232675456165396e+01,-1.732767109827969421e+01
3.300100000000000000e+04,-2.619462212655522393e+01,-1.222784344820124147e+01,-1.683512043918552692e+01
3.350100000000000000e+04,-2.633531775628642535e+01,-1.292792745222988593e+01,-1.662455701179841938e+01
3.400100000000000000e+04,-2.621184845334420999e+01,-1.258337109981984980e+01,-1.644370370850172947e+01
3.450100000000000000e+04,-2.626451094900221506e+01,-1.220002841786240566e+01,-1.706564401154044575e+01
3.500100000000000000e+04,-2.621423844929281799e+01,-1.268440192176293024e+01,-1.652214682902849674e+01
3.550100000000000000e+04,-2.627388266735473721e+01,-1.274289869225733263e+01,-1.654337526448101414e+01
3.600100000000000000e+04,-2.628353627165022388e+01,-1.250803280525003736e+01,-1.664676407093567789e+01
3.650100000000000000e+04,-2.623708174552661276e+01,-1.176674726387706471e+01,-1.676725088632549188e+01
