# episode,agent0
1.000000000000000000e+00,4.261250000000000426e+00
5.010000000000000000e+02,4.667500000000000426e+00
1.001000000000000000e+03,4.933749999999999858e+00
1.501000000000000000e+03,5.099999999999999645e+00
2.001000000000000000e+03,5.066250000000000142e+00
2.501000000000000000e+03,5.339999999999999858e+00
3.001000000000000000e+03,5.462500000000000355e+00
3.501000000000000000e+03,5.423750000000000071e+00
4.001000000000000000e+03,5.000000000000000000e+00
4.501000000000000000e+03,4.654999999999999361e+00
5.001000000000000000e+03,4.386250000000000426e+00
5.501000000000000000e+03,3.756249999999999645e+00
6.001000000000000000e+03,3.201249999999999929e+00
6.501000000000000000e+03,2.811250000000000249e+00
7.001000000000000000e+03,2.258749999999999591e+00
7.501000000000000000e+03,1.916249999999999787e+00
8.001000000000000000e+03,1.533749999999999947e+00
8.501000000000000000e+03,1.316250000000000142e+00
9.001000000000000000e+03,1.044999999999999929e+00
9.501000000000000000e+03,9.362500000000002487e-01
1.000100000000000000e+04,7.212499999999999467e-01
1.050100000000000000e+04,5.562499999999999112e-01
1.100100000000000000e+04,4.412500000000001421e-01
1.150100000000000000e+04,3.325000000000000178e-01
1.200100000000000000e+04,2.450000000000001066e-01
1.250100000000000000e+04,1.999999999999997335e-01
1.300100000000000000e+04,1.124999999999998224e-01
1.350100000000000000e+04,3.750000000000142109e-03
1.400100000000000000e+04,3.624999999999989342e-02
1.450100000000000000e+04,2.499999999999946709e-03
1.500100000000000000e+04,7.374999999999998224e-02
1.550100000000000000e+04,6.875000000000008882e-02
1.600100000000000000e+04,-6.125000000000002665e-02
1.650100000000000000e+04,1.249999999999973355e-03
1.700100000000000000e+04,9.125000000000005329e-02
1.750100000000000000e+04,-3.125000000000000000e-02
1.800100000000000000e+04,-1.412500000000000977e-01
1.850100000000000000e+04,-1.112500000000000711e-01
1.900100000000000000e+04,-1.250000000000000000e-01
1.950100000000000000e+04,6.250000000000000000e-02
2.000100000000000000e+04,1.500000000000012434e-02
2.050100000000000000e+04,-5.624999999999991118e-02
2.100100000000000000e+04,-1.349999999999997868e-01
2.150100000000000000e+04,1.162499999999999645e-01
2.200100000000000000e+04,9.624999999999994671e-02
2.250100000000000000e+04,1.787499999999999645e-01
2.300100000000000000e+04,-4.750000000000009770e-02
2.350100000000000000e+04,1.012500000000000622e-01
2.400100000000000000e+04,-1.000000000000000888e-01
2.450100000000000000e+04,-2.749999999999985789e-02
2.500100000000000000e+04,-4.625000000000012434e-02
2.550100000000000000e+04,-4.625000000000012434e-02
2.600100000000000000e+04,-3.374999999999994671e-02
2.650100000000000000e+04,-2.124999999999999112e-02
2.700100000000000000e+04,-8.749999999999991118e-02
2.750100000000000000e+04,-9.750000000000014211e-02
2.800100000000000000e+04,-8.875000000000010658e-02
2.850100000000000000e+04,-1.837500000000000799e-01
2.900100000000000000e+04,-2.099999999999999645e-01
2.950100000000000000e+04,-3.499999999999992006e-02
3.000100000000000000e+04,-3.274999999999999023e-01
3.050100000000000000e+04,-2.000000000000001776e-01
3.100100000000000000e+04,-2.099999999999999645e-01
3.150100000000000000e+04,-2.787500000000000533e-01
3.200100000000000000e+04,-3.287499999999998757e-01
3.250100000000000000e+04,-2.000000000000001776e-01
3.300100000000000000e+04,-2.524999999999999467e-01
3.350100000000000000e+04,-2.600000000000002309e-01
3.400100000000000000e+04,-3.600000000000000977e-01
3.450100000000000000e+04,-4.899999999999999911e-01
3.500100000000000000e+04,-4.462500000000000355e-01
3.550100000000000000e+04,-3.699999999999998845e-01
3.600100000000000000e+04,-3.549999999999999822e-01
3.650100000000000000e+04,-4.775000000000000355e-01
3.700100000000000000e+04,-4.050000000000000266e-01
3.750100000000000000e+04,-4.562500000000000444e-01
3.800100000000000000e+04,-4.325000000000001066e-01
3.850100000000000000e+04,-5.574999999999998845e-01
3.900100000000000000e+04,-3.974999999999999645e-01
3.950100000000000000e+04,-3.750000000000000000e-01
4.000100000000000000e+04,-5.537499999999999645e-01
4.050100000000000000e+04,-4.599999999999999645e-01
4.100100000000000000e+04,-6.100000000000000977e-01
4.150100000000000000e+04,-5.124999999999999556e-01
