# episode,agent0
1.000000000000000000e+00,4.564216400777380223e+00
5.010000000000000000e+02,4.934933430969278945e+00
1.001000000000000000e+03,5.215047280470323621e+00
1.501000000000000000e+03,5.393197544328051762e+00
2.001000000000000000e+03,5.379471966024095941e+00
2.501000000000000000e+03,5.682743752678294236e+00
3.001000000000000000e+03,5.768864488803777668e+00
3.501000000000000000e+03,5.692390131030343525e+00
4.001000000000000000e+03,5.296522781586845419e+00
4.501000000000000000e+03,5.027834333182982895e+00
5.001000000000000000e+03,4.701971142782678470e+00
5.501000000000000000e+03,4.069026213929383573e+00
6.001000000000000000e+03,3.520957616424757575e+00
6.501000000000000000e+03,3.088867002361166847e+00
7.001000000000000000e+03,2.514003599386962051e+00
7.501000000000000000e+03,2.216762362474490988e+00
8.001000000000000000e+03,1.819211871359381227e+00
8.501000000000000000e+03,1.537596786739722221e+00
9.001000000000000000e+03,1.279829640377870614e+00
9.501000000000000000e+03,1.171370734942710046e+00
1.000100000000000000e+04,9.862079589293365478e-01
1.050100000000000000e+04,7.172424221819150292e-01
1.100100000000000000e+04,5.959703929674431411e-01
1.150100000000000000e+04,4.991286890064253190e-01
1.200100000000000000e+04,3.862628755193664998e-01
1.250100000000000000e+04,3.894632418175090205e-01
1.300100000000000000e+04,2.648427714071132089e-01
1.350100000000000000e+04,1.873700424790280261e-01
1.400100000000000000e+04,1.775440196894403910e-01
1.450100000000000000e+04,1.703380171474865312e-01
1.500100000000000000e+04,2.545389377146732302e-01
1.550100000000000000e+04,2.355490407646279594e-01
1.600100000000000000e+04,1.171118793352435850e-01
1.650100000000000000e+04,1.318137009279378158e-01
1.700100000000000000e+04,2.236149500434311266e-01
1.750100000000000000e+04,1.364368510050802952e-01
1.800100000000000000e+04,-1.533764953349503468e-02
1.850100000000000000e+04,1.034240785469917323e-01
1.900100000000000000e+04,6.169333142884347865e-02
1.950100000000000000e+04,2.914048710709319367e-01
2.000100000000000000e+04,2.240863936271321466e-01
2.050100000000000000e+04,1.732841368947112548e-01
2.100100000000000000e+04,1.172982362205493567e-01
2.150100000000000000e+04,4.288542865988884678e-01
2.200100000000000000e+04,3.852280614510381063e-01
2.250100000000000000e+04,5.146316458218578305e-01
2.300100000000000000e+04,2.455217739349755957e-01
2.350100000000000000e+04,4.076946442671172677e-01
2.400100000000000000e+04,1.289621802831200092e-01
2.450100000000000000e+04,2.629154265875008334e-01
2.500100000000000000e+04,2.221184035053305750e-01
2.550100000000000000e+04,2.205398049026610074e-01
2.600100000000000000e+04,2.103611222373942269e-01
2.650100000000000000e+04,2.408031243851139758e-01
2.700100000000000000e+04,1.759697705620135166e-01
2.750100000000000000e+04,1.841715818111581138e-01
2.800100000000000000e+04,1.038752319920730471e-01
2.850100000000000000e+04,3.181957113655897729e-02
2.900100000000000000e+04,2.053329477539683756e-02
2.950100000000000000e+04,1.668981921662500423e-01
3.000100000000000000e+04,-1.918321703571549408e-01
3.050100000000000000e+04,2.622280910704599677e-04
3.100100000000000000e+04,4.636973300294250366e-02
3.150100000000000000e+04,-1.042917528461323184e-01
3.200100000000000000e+04,-1.474484831833995646e-01
3.250100000000000000e+04,-2.575419660720679182e-02
3.300100000000000000e+04,-5.901408319983592055e-02
3.350100000000000000e+04,-9.901105628025283489e-02
3.400100000000000000e+04,-1.874965507591226099e-01
3.450100000000000000e+04,-3.158129740767126048e-01
3.500100000000000000e+04,-2.872979317529967269e-01
3.550100000000000000e+04,-1.917597127470895280e-01
3.600100000000000000e+04,-2.026467263233244498e-01
3.650100000000000000e+04,-3.049093861184798415e-01
3.700100000000000000e+04,-2.223545511106286010e-01
3.750100000000000000e+04,-2.946702983045209612e-01
3.800100000000000000e+04,-2.921575616572094081e-01
3.850100000000000000e+04,-4.337531616565496462e-01
3.900100000000000000e+04,-2.239479328846814554e-01
3.950100000000000000e+04,-2.029497747749222092e-01
4.000100000000000000e+04,-4.242444788821727042e-01
4.050100000000000000e+04,-3.209748224241378289e-01
4.100100000000000000e+04,-4.711590838405336212e-01
4.150100000000000000e+04,-4.070485893882874184e-01
4.200100000000000000e+04,-4.541036900997086345e-01
4.250100000000000000e+04,-2.902408676541600729e-01
4.300100000000000000e+04,-3.275859812578960639e-01
4.350100000000000000e+04,-4.296758286346428202e-01
4.400100000000000000e+04,-2.678362389532632504e-01
4.450100000000000000e+04,-4.011340584454090585e-01
4.500100000000000000e+04,-4.873475550741303564e-01
4.550100000000000000e+04,-3.286214682216179184e-01
4.600100000000000000e+04,-3.515387287230992142e-01
4.650100000000000000e+04,-5.082902698572563382e-01
4.700100000000000000e+04,-4.314359353944898778e-01
