episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.312248563095724307e+01,-2.836868920395544791e+01,-2.918465049022075064e+01
5.010000000000000000e+02,-3.293428969010854246e+01,-2.864874559501934570e+01,-2.817214660024219341e+01
1.001000000000000000e+03,-3.169623871762272671e+01,-2.814063370866813329e+01,-2.832007166901744455e+01
1.501000000000000000e+03,-3.076573362193449768e+01,-2.811163237663122061e+01,-2.796537254919981663e+01
2.001000000000000000e+03,-3.077450961494167103e+01,-2.742431261146550980e+01,-2.776509933467648494e+01
2.501000000000000000e+03,-2.965990497445708129e+01,-2.735246802562221191e+01,-2.763654481710197786e+01
3.001000000000000000e+03,-2.941361176102437014e+01,-2.712001621577154609e+01,-2.737960587321084560e+01
3.501000000000000000e+03,-2.929357479555671873e+01,-2.716623330564565109e+01,-2.714389996621184054e+01
4.001000000000000000e+03,-2.912977371780796076e+01,-2.688617334212870347e+01,-2.749547914012365268e+01
4.501000000000000000e+03,-2.909070312325588503e+01,-2.736304440520083858e+01,-2.699050987888560726e+01
5.001000000000000000e+03,-2.855846420800451568e+01,-2.717013858190563624e+01,-2.692030653915816174e+01
5.501000000000000000e+03,-2.899745469518230223e+01,-2.709790698551739041e+01,-2.659072303396468584e+01
6.001000000000000000e+03,-2.876863110240844179e+01,-2.712493333787407224e+01,-2.645828343045359787e+01
6.501000000000000000e+03,-2.875216638180274487e+01,-2.680305164182333755e+01,-2.671979250571301279e+01
7.001000000000000000e+03,-2.872345156397636856e+01,-2.706376447455405909e+01,-2.622386833366438808e+01
7.501000000000000000e+03,-2.881127997269912555e+01,-2.707563223141097097e+01,-2.637770411039999630e+01
8.001000000000000000e+03,-2.857585253961097393e+01,-2.673097605209647654e+01,-2.634050497192294671e+01
8.501000000000000000e+03,-2.859652945499798093e+01,-2.614496781117701119e+01,-2.568196710313022990e+01
9.001000000000000000e+03,-2.853458552962652917e+01,-2.595005374542345322e+01,-2.576481583820533316e+01
9.501000000000000000e+03,-2.844817974863584453e+01,-2.562678995963309347e+01,-2.532696727844848184e+01
1.000100000000000000e+04,-2.825819478402570795e+01,-2.498382536071773430e+01,-2.514403209913377779e+01
1.050100000000000000e+04,-2.832719270539834966e+01,-2.454765279412536572e+01,-2.510258626831674533e+01
1.100100000000000000e+04,-2.803058606388601959e+01,-2.444191523085133610e+01,-2.530928110066259507e+01
1.150100000000000000e+04,-2.804860931960127601e+01,-2.408705865863763051e+01,-2.421899767676367787e+01
1.200100000000000000e+04,-2.812046493912924916e+01,-2.407262607828793932e+01,-2.378683426341079254e+01
1.250100000000000000e+04,-2.807670889464373687e+01,-2.405283288482059234e+01,-2.416970095804515850e+01
1.300100000000000000e+04,-2.798043744301714852e+01,-2.375332870305564015e+01,-2.364950161492952674e+01
1.350100000000000000e+04,-2.782155824354948592e+01,-2.356872992449981652e+01,-2.370559119064180464e+01
1.400100000000000000e+04,-2.779972347709011160e+01,-2.316748316505352534e+01,-2.332016813969606872e+01
1.450100000000000000e+04,-2.749113994671717620e+01,-2.294289847918976832e+01,-2.326183767348629416e+01
1.500100000000000000e+04,-2.735346995375418899e+01,-2.277363964286295683e+01,-2.246814513973604477e+01
1.550100000000000000e+04,-2.750816284050014460e+01,-2.280154382854489015e+01,-2.267173370219460793e+01
1.600100000000000000e+04,-2.731861884401752860e+01,-2.281687611676816019e+01,-2.225176825071499209e+01
1.650100000000000000e+04,-2.704597445320783677e+01,-2.250426081553173674e+01,-2.202655900686225010e+01
1.700100000000000000e+04,-2.711231944737840038e+01,-2.213783183812162392e+01,-2.198423827658112018e+01
1.750100000000000000e+04,-2.724789191607911931e+01,-2.216103322416113031e+01,-2.194707138915319788e+01
1.800100000000000000e+04,-2.700525054028996763e+01,-2.188149100502381472e+01,-2.126371707668776168e+01
1.850100000000000000e+04,-2.681807163435101060e+01,-2.202768135345683120e+01,-2.118153071881113902e+01
1.900100000000000000e+04,-2.678996994316534952e+01,-2.192909045416335445e+01,-2.100708906911832230e+01
1.950100000000000000e+04,-2.670248795823763999e+01,-2.191475514461262009e+01,-2.077513455110607055e+01
2.000100000000000000e+04,-2.672950807986691757e+01,-2.172657149959749745e+01,-2.098444315733077303e+01
2.050100000000000000e+04,-2.659625799829910520e+01,-2.162802342942828915e+01,-2.083946228749313079e+01
2.100100000000000000e+04,-2.655955113265519785e+01,-2.153464752433476903e+01,-2.024960671527906797e+01
2.150100000000000000e+04,-2.659862815935757041e+01,-2.151965365587618351e+01,-2.017957168558975312e+01
2.200100000000000000e+04,-2.651586253580505215e+01,-2.132163882006735278e+01,-2.084759902790329278e+01
2.250100000000000000e+04,-2.657256918264639367e+01,-2.128434637054581557e+01,-2.009970594133518773e+01
2.300100000000000000e+04,-2.645388274560410835e+01,-2.118996364127892917e+01,-1.985150984521900241e+01
2.350100000000000000e+04,-2.643492408161901608e+01,-2.103720694528320934e+01,-2.014382877810292527e+01
2.400100000000000000e+04,-2.642971330022463761e+01,-2.095651087689535430e+01,-1.995621273217093261e+01
2.450100000000000000e+04,-2.642930829686589433e+01,-2.104041424535723692e+01,-1.965003491375575351e+01
2.500100000000000000e+04,-2.641605893235967883e+01,-2.135055398199383347e+01,-1.938105304894057568e+01
2.550100000000000000e+04,-2.635641215772674784e+01,-2.083241854088499423e+01,-1.980333440744704276e+01
2.600100000000000000e+04,-2.643165169782714941e+01,-2.101095785407851935e+01,-1.966769664328040790e+01
2.650100000000000000e+04,-2.637083299098162925e+01,-2.072376932055012233e+01,-1.963177852757289443e+01
2.700100000000000000e+04,-2.629703379678748476e+01,-2.046888923402500993e+01,-1.945036281609720774e+01
2.750100000000000000e+04,-2.634293066016517670e+01,-2.022599727947451242e+01,-1.938497337730058234e+01
2.800100000000000000e+04,-2.621627181473831669e+01,-2.040786176730159340e+01,-1.925229329309916793e+01
2.850100000000000000e+04,-2.627475437550792847e+01,-2.008141193027189075e+01,-1.922628561525439395e+01
2.900100000000000000e+04,-2.625201486583031496e+01,-2.002802710705244493e+01,-1.938208216427219099e+01
2.950100000000000000e+04,-2.640198534770414085e+01,-1.985365036280813911e+01,-1.928104301457259950e+01
3.000100000000000000e+04,-2.632850067684332629e+01,-1.973945591398425492e+01,-1.913446262586792912e+01
3.050100000000000000e+04,-2.633460919796137034e+01,-1.991714310747414984e+01,-1.912294686715625502e+01
3.100100000000000000e+04,-2.631755574729504588e+01,-2.010451728128147408e+01,-1.904095526046841158e+01
3.150100000000000000e+04,-2.628668799569900116e+01,-2.000650296283816232e+01,-1.922112629673343420e+01
3.200100000000000000e+04,-2.631852901901346797e+01,-1.991727921956022129e+01,-1.943821314792201704e+01
3.250100000000000000e+04,-2.628548136138709168e+01,-1.967411215611882369e+01,-1.890075270050238032e+01
3.300100000000000000e+04,-2.634487861573816758e+01,-2.017635513249887680e+01,-1.886979852861016482e+01
3.350100000000000000e+04,-2.633926437665216724e+01,-1.966999338704922806e+01,-1.872891831453548050e+01
3.400100000000000000e+04,-2.638965846188341402e+01,-2.012257834865212303e+01,-1.872575750776082870e+01
3.450100000000000000e+04,-2.627529673861388204e+01,-1.980094541740254854e+01,-1.925437804246896434e+01
3.500100000000000000e+04,-2.632505487529096655e+01,-1.977300636264764933e+01,-1.916746528630280011e+01
3.550100000000000000e+04,-2.630200536743401329e+01,-1.986429470411100340e+01,-1.893467294849404681e+01
3.600100000000000000e+04,-2.631785917661148844e+01,-1.991049583042509497e+01,-1.873650299233942107e+01
3.650100000000000000e+04,-2.631709926373734376e+01,-1.999946543767527984e+01,-1.872108234823977568e+01
3.700100000000000000e+04,-2.630118254943591083e+01,-1.968213590783694755e+01,-1.918129519973091490e+01
3.750100000000000000e+04,-2.630475867668701184e+01,-1.997389687975901751e+01,-1.870501989964207112e+01
3.800100000000000000e+04,-2.628597218868008767e+01,-1.943019933603953220e+01,-1.884908600218904340e+01
3.850100000000000000e+04,-2.631462043824172881e+01,-2.004142616659235543e+01,-1.851314483010919432e+01
3.900100000000000000e+04,-2.629554593638854598e+01,-2.001266027828079785e+01,-1.865567931264637380e+01
3.950100000000000000e+04,-2.633988067778894049e+01,-1.977836938989867122e+01,-1.869957118633339377e+01
4.000100000000000000e+04,-2.632776905019347424e+01,-1.989419879265946633e+01,-1.873019049673239778e+01
4.050100000000000000e+04,-2.629458793886355750e+01,-2.011898030457212627e+01,-1.843378609865386863e+01
