# episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.243514035584173882e+01,-2.753507633237821395e+01,-2.811378816539968639e+01
5.010000000000000000e+02,-3.227196708776477863e+01,-2.774438000685522354e+01,-2.732898843225620666e+01
1.001000000000000000e+03,-3.116439633674173848e+01,-2.728602888050048847e+01,-2.744985630546874944e+01
1.501000000000000000e+03,-3.027590370840031397e+01,-2.738107001978388411e+01,-2.704398072164107347e+01
2.001000000000000000e+03,-3.036097599042343376e+01,-2.682251135664977681e+01,-2.695132544745357350e+01
2.501000000000000000e+03,-2.935988228546205292e+01,-2.665582196919308089e+01,-2.681023710984120711e+01
3.001000000000000000e+03,-2.912127485292683104e+01,-2.648177110290009040e+01,-2.646232727641254456e+01
3.501000000000000000e+03,-2.895440574459562555e+01,-2.648419478950352612e+01,-2.628437823420259178e+01
4.001000000000000000e+03,-2.884454522636629292e+01,-2.616094673186191955e+01,-2.650024247872669747e+01
4.501000000000000000e+03,-2.869200819605062591e+01,-2.648966998984968768e+01,-2.616180785887620530e+01
5.001000000000000000e+03,-2.828086372037655849e+01,-2.644944530472281485e+01,-2.566914166404616182e+01
5.501000000000000000e+03,-2.871208940664437392e+01,-2.625466885088919611e+01,-2.529801739992705478e+01
6.001000000000000000e+03,-2.847797226230459700e+01,-2.625430687422768017e+01,-2.511769922267906452e+01
6.501000000000000000e+03,-2.848356379623178469e+01,-2.571947460982892864e+01,-2.519417217399892905e+01
7.001000000000000000e+03,-2.840433234907888149e+01,-2.570662894255026742e+01,-2.455161393003674419e+01
7.501000000000000000e+03,-2.841294333469031130e+01,-2.549384483350749875e+01,-2.426089282422495685e+01
8.001000000000000000e+03,-2.819161868766941836e+01,-2.485875350246910642e+01,-2.420202649105049275e+01
8.501000000000000000e+03,-2.819746733733843769e+01,-2.380295708447575720e+01,-2.319010307119200576e+01
9.001000000000000000e+03,-2.802801291690624907e+01,-2.337805075297933044e+01,-2.310794676537147296e+01
9.501000000000000000e+03,-2.799455244064562365e+01,-2.314411357314629214e+01,-2.258564552491450783e+01
1.000100000000000000e+04,-2.780154612946312653e+01,-2.219640087604656031e+01,-2.256427842811464402e+01
1.050100000000000000e+04,-2.781671763515312534e+01,-2.158118660988585091e+01,-2.234857903655240818e+01
1.100100000000000000e+04,-2.758304264713593668e+01,-2.141086146706432913e+01,-2.298081036703942459e+01
1.150100000000000000e+04,-2.760118019002562306e+01,-2.074454052129665271e+01,-2.149551474611597968e+01
