# episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.174779508072623813e+01,-2.670146346080097999e+01,-2.704292584057862214e+01
5.010000000000000000e+02,-3.160964448542101835e+01,-2.684001441869110138e+01,-2.648583026427021991e+01
1.001000000000000000e+03,-3.063255395586075025e+01,-2.643142405233284364e+01,-2.657964094192005433e+01
1.501000000000000000e+03,-2.978607379486613027e+01,-2.665050766293654760e+01,-2.612258889408233031e+01
2.001000000000000000e+03,-2.994744236590519648e+01,-2.622071010183404383e+01,-2.613755156023066206e+01
2.501000000000000000e+03,-2.905985959646702455e+01,-2.595917591276394987e+01,-2.598392940258043637e+01
3.001000000000000000e+03,-2.882893794482929195e+01,-2.584352599002863471e+01,-2.554504867961424353e+01
3.501000000000000000e+03,-2.861523669363453237e+01,-2.580215627336140116e+01,-2.542485650219334303e+01
4.001000000000000000e+03,-2.855931673492462508e+01,-2.543572012159513562e+01,-2.550500581732974226e+01
4.501000000000000000e+03,-2.829331326884536679e+01,-2.561629557449853678e+01,-2.533310583886680334e+01
5.001000000000000000e+03,-2.800326323274860130e+01,-2.572875202753999346e+01,-2.441797678893416190e+01
5.501000000000000000e+03,-2.842672411810644562e+01,-2.541143071626100181e+01,-2.400531176588942373e+01
6.001000000000000000e+03,-2.818731342220075220e+01,-2.538368041058128810e+01,-2.377711501490453117e+01
6.501000000000000000e+03,-2.821496121066082452e+01,-2.463589757783451972e+01,-2.366855184228484532e+01
7.001000000000000000e+03,-2.808521313418139442e+01,-2.434949341054647576e+01,-2.287935952640910031e+01
7.501000000000000000e+03,-2.801460669668149706e+01,-2.391205743560402652e+01,-2.214408153804991741e+01
8.001000000000000000e+03,-2.780738483572786279e+01,-2.298653095284173631e+01,-2.206354801017803879e+01
8.501000000000000000e+03,-2.779840521967889444e+01,-2.146094635777450321e+01,-2.069823903925378161e+01
9.001000000000000000e+03,-2.752144030418596898e+01,-2.080604776053520766e+01,-2.045107769253761276e+01
9.501000000000000000e+03,-2.754092513265540276e+01,-2.066143718665949081e+01,-1.984432377138053383e+01
1.000100000000000000e+04,-2.734489747490054512e+01,-1.940897639137538633e+01,-1.998452475709551024e+01
1.050100000000000000e+04,-2.730624256490790103e+01,-1.861472042564633611e+01,-1.959457180478807103e+01
1.100100000000000000e+04,-2.713549923038585376e+01,-1.837980770327732216e+01,-2.065233963341625412e+01
1.150100000000000000e+04,-2.715375106044997011e+01,-1.740202238395567491e+01,-1.877203181546828148e+01
1.200100000000000000e+04,-2.718308664930324881e+01,-1.772061106890599547e+01,-1.833977924886197641e+01
1.250100000000000000e+04,-2.720059767610501211e+01,-1.784381780121547578e+01,-1.883094562432243535e+01
1.300100000000000000e+04,-2.704392827774909946e+01,-1.700683347015570135e+01,-1.813476696348592299e+01
1.350100000000000000e+04,-2.697129278653050832e+01,-1.691417584935286200e+01,-1.804552134002756958e+01
1.400100000000000000e+04,-2.696086293364649578e+01,-1.619695579047182576e+01,-1.824722822557893309e+01
1.450100000000000000e+04,-2.681250414475781696e+01,-1.625969858169996840e+01,-1.824735293989566642e+01
1.500100000000000000e+04,-2.671054965925205593e+01,-1.613595484194168606e+01,-1.724204210275350846e+01
1.550100000000000000e+04,-2.672288315074610310e+01,-1.640681123836663247e+01,-1.721041633202896293e+01
1.600100000000000000e+04,-2.672634877004372100e+01,-1.624125703317746527e+01,-1.692420744132973809e+01
1.650100000000000000e+04,-2.656592515467778171e+01,-1.613170815604638619e+01,-1.711871955992685201e+01
1.700100000000000000e+04,-2.665059771773605846e+01,-1.546849307255579120e+01,-1.670412254887449777e+01
1.750100000000000000e+04,-2.663622818348212462e+01,-1.563710978794985174e+01,-1.689037359572215635e+01
1.800100000000000000e+04,-2.654757369888002572e+01,-1.525928778397984686e+01,-1.618524857630679747e+01
1.850100000000000000e+04,-2.642260745133647859e+01,-1.565227500041191533e+01,-1.610081091471010950e+01
1.900100000000000000e+04,-2.643763262913588719e+01,-1.550123483551316461e+01,-1.564150553736123506e+01
1.950100000000000000e+04,-2.637708568425271238e+01,-1.575886697745765197e+01,-1.544765763654312174e+01
2.000100000000000000e+04,-2.637783517328932703e+01,-1.565004478884758754e+01,-1.587651884281663683e+01
2.050100000000000000e+04,-2.635341110452588609e+01,-1.548340815605885901e+01,-1.584087715622267112e+01
2.100100000000000000e+04,-2.625766049228229448e+01,-1.538431182532960761e+01,-1.479802532911173429e+01
2.150100000000000000e+04,-2.630199067106617505e+01,-1.539417713354988670e+01,-1.505478128014675931e+01
2.200100000000000000e+04,-2.630760567212869105e+01,-1.484282377889460847e+01,-1.604579731387125463e+01
2.250100000000000000e+04,-2.630443774501484810e+01,-1.497676021907570387e+01,-1.504339959098989787e+01
2.300100000000000000e+04,-2.622860864639463685e+01,-1.466434798737125078e+01,-1.467584992572876601e+01
2.350100000000000000e+04,-2.622484526748348088e+01,-1.433853390492500779e+01,-1.523507390428153840e+01
2.400100000000000000e+04,-2.623806681767410609e+01,-1.457627318515339354e+01,-1.497947316520282079e+01
2.450100000000000000e+04,-2.623259314602374204e+01,-1.470405053513195881e+01,-1.446332929785371135e+01
2.500100000000000000e+04,-2.625057966170031776e+01,-1.531340213079330681e+01,-1.435891063945076773e+01
2.550100000000000000e+04,-2.621801458716199207e+01,-1.426830582403357539e+01,-1.471388530709777953e+01
2.600100000000000000e+04,-2.623052970149909413e+01,-1.464378628735951082e+01,-1.480751559973754183e+01
2.650100000000000000e+04,-2.620528779367961292e+01,-1.449836122315470099e+01,-1.453097990126130235e+01
2.700100000000000000e+04,-2.615722632824126137e+01,-1.410546758508873388e+01,-1.435642612326011225e+01
2.750100000000000000e+04,-2.619589788576168488e+01,-1.391012037523718448e+01,-1.428353315796325518e+01
2.800100000000000000e+04,-2.600641067764238912e+01,-1.421861409503135931e+01,-1.410816618409984713e+01
2.850100000000000000e+04,-2.599494550609768950e+01,-1.336555267745426967e+01,-1.389243947076989016e+01
