episode,agent0
1.000000000000000000e+00,4.128116867772353871e+00
5.010000000000000000e+02,4.409812814395235314e+00
1.001000000000000000e+03,4.622710686052198703e+00
1.501000000000000000e+03,4.793671273697997393e+00
2.001000000000000000e+03,4.837197511555355156e+00
2.501000000000000000e+03,5.029964924688625771e+00
3.001000000000000000e+03,5.052033173644531416e+00
3.501000000000000000e+03,4.991420996433835633e+00
4.001000000000000000e+03,4.839218154304171904e+00
4.501000000000000000e+03,4.419544670111914542e+00
5.001000000000000000e+03,4.054700352201602520e+00
5.501000000000000000e+03,3.514941867168021261e+00
6.001000000000000000e+03,2.923091939147643092e+00
6.501000000000000000e+03,2.505659879072913210e+00
7.001000000000000000e+03,2.107503651093800556e+00
7.501000000000000000e+03,1.776536323937071504e+00
8.001000000000000000e+03,1.446811199159232286e+00
8.501000000000000000e+03,1.361012622098984215e+00
9.001000000000000000e+03,1.086059591487057663e+00
9.501000000000000000e+03,8.226803083179221598e-01
1.000100000000000000e+04,6.924974547717953621e-01
1.050100000000000000e+04,6.105094931794939894e-01
1.100100000000000000e+04,5.509782673072811665e-01
1.150100000000000000e+04,4.209802562261405479e-01
1.200100000000000000e+04,3.324314445653540062e-01
1.250100000000000000e+04,3.327060625495246726e-01
1.300100000000000000e+04,1.898001019548523349e-01
1.350100000000000000e+04,1.161810644329497322e-01
1.400100000000000000e+04,1.571976565213424604e-01
1.450100000000000000e+04,2.935685430671660656e-01
1.500100000000000000e+04,1.728646351882347498e-01
1.550100000000000000e+04,1.193148629902808233e-01
1.600100000000000000e+04,1.411031288112463145e-02
1.650100000000000000e+04,3.976486995200423369e-02
1.700100000000000000e+04,2.415071825683447471e-01
1.750100000000000000e+04,6.723908560367086729e-02
1.800100000000000000e+04,5.921234447764861519e-02
1.850100000000000000e+04,-3.168098698015209269e-03
1.900100000000000000e+04,2.383965753966110768e-02
1.950100000000000000e+04,1.608768178799488968e-01
2.000100000000000000e+04,1.833097139649392249e-02
2.050100000000000000e+04,5.610433953658378048e-02
2.100100000000000000e+04,-7.103065941885805534e-02
2.150100000000000000e+04,1.484337639055393065e-01
2.200100000000000000e+04,8.739273225305721482e-02
2.250100000000000000e+04,8.265773958673694466e-02
2.300100000000000000e+04,-1.776062766684040062e-01
2.350100000000000000e+04,-3.194096611148333764e-03
2.400100000000000000e+04,1.407482466770191287e-01
2.450100000000000000e+04,-3.325272873334539359e-02
2.500100000000000000e+04,-2.626468768946599308e-02
2.550100000000000000e+04,-2.655693859610153140e-02
2.600100000000000000e+04,1.676094789646742633e-02
2.650100000000000000e+04,-1.476290041604588765e-01
2.700100000000000000e+04,-5.542070094944473446e-02
2.750100000000000000e+04,1.282318518360902049e-01
2.800100000000000000e+04,-8.030900002353980049e-02
2.850100000000000000e+04,-1.229619870740350507e-01
2.900100000000000000e+04,-9.182007247073509237e-02
2.950100000000000000e+04,-3.950686190401953013e-03
3.000100000000000000e+04,-9.188904922495932936e-02
3.050100000000000000e+04,-1.314219797001112688e-01
3.100100000000000000e+04,-1.085196758566853159e-01
3.150100000000000000e+04,-1.620323185464317417e-01
3.200100000000000000e+04,-1.672590121441224209e-01
3.250100000000000000e+04,-1.321081725246674443e-01
3.300100000000000000e+04,-1.712913637435009573e-01
3.350100000000000000e+04,-1.452886442728109628e-01
3.400100000000000000e+04,-2.457930535624541779e-02
3.450100000000000000e+04,-2.543063941207758250e-01
3.500100000000000000e+04,-1.281962429127972980e-01
3.550100000000000000e+04,-2.123744417734032552e-01
3.600100000000000000e+04,-2.082827203231899516e-01
3.650100000000000000e+04,-2.973375370391017070e-01
3.700100000000000000e+04,-3.624376464872586245e-01
3.750100000000000000e+04,-3.291122775562721481e-01
3.800100000000000000e+04,-2.657820366230606579e-01
3.850100000000000000e+04,-2.687098267513524652e-01
3.900100000000000000e+04,-2.075346471024867023e-01
3.950100000000000000e+04,-3.914492550447190578e-01
4.000100000000000000e+04,-3.376881916565933617e-01
4.050100000000000000e+04,-2.602561916870083092e-01
4.100100000000000000e+04,-9.637215716350500117e-02
4.150100000000000000e+04,-3.385153875177646654e-01
4.200100000000000000e+04,-2.998563253687688279e-01
4.250100000000000000e+04,-3.660707660844815248e-01
4.300100000000000000e+04,-2.681967473213511255e-01
4.350100000000000000e+04,-3.180926273223030343e-01
4.400100000000000000e+04,-3.503922791475889698e-01
4.450100000000000000e+04,-2.920580253717496300e-01
4.500100000000000000e+04,-3.749294275277031963e-01
4.550100000000000000e+04,-3.504413182039195496e-01
4.600100000000000000e+04,-2.282261321813690014e-01
4.650100000000000000e+04,-2.684377644244380079e-01
4.700100000000000000e+04,-3.327559766497232285e-01
4.750100000000000000e+04,-2.486180627584565483e-01
4.800100000000000000e+04,-2.721112024351618475e-01
4.850100000000000000e+04,-3.266940799509163718e-01
4.900100000000000000e+04,-2.991215684244871165e-01
4.950100000000000000e+04,-3.318050252981153969e-01
5.000100000000000000e+04,-2.258060426155903411e-01
5.050100000000000000e+04,-3.014589885570263528e-01
5.100100000000000000e+04,-3.971284248491899760e-01
5.150100000000000000e+04,-2.700890255976508003e-01
5.200100000000000000e+04,-2.176800262529174912e-01
5.250100000000000000e+04,-3.038115100443989913e-01
5.300100000000000000e+04,-2.525004529001964038e-01
5.350100000000000000e+04,-2.320455253303774779e-01
5.400100000000000000e+04,-2.870939735877923171e-01
5.450100000000000000e+04,-2.990003245225325568e-01
5.500100000000000000e+04,-3.016453039972303296e-01
5.550100000000000000e+04,-3.200103164069346695e-01
5.600100000000000000e+04,-2.551670832311404569e-01
5.650100000000000000e+04,-2.731407475819794817e-01
5.700100000000000000e+04,-2.812876569710668351e-01
5.750100000000000000e+04,-4.249621766881978013e-01
5.800100000000000000e+04,-3.019625905902357799e-01
