# episode,agent0
1.000000000000000000e+00,4.445714285714285730e+00
5.010000000000000000e+02,4.758571428571428896e+00
1.001000000000000000e+03,4.921428571428571708e+00
1.501000000000000000e+03,5.095714285714286085e+00
2.001000000000000000e+03,5.165714285714286369e+00
2.501000000000000000e+03,5.367142857142858325e+00
3.001000000000000000e+03,5.397142857142857686e+00
3.501000000000000000e+03,5.318571428571428505e+00
4.001000000000000000e+03,5.121428571428571885e+00
4.501000000000000000e+03,4.727142857142857757e+00
5.001000000000000000e+03,4.372857142857142776e+00
5.501000000000000000e+03,3.807142857142856940e+00
6.001000000000000000e+03,3.272857142857142243e+00
6.501000000000000000e+03,2.788571428571427369e+00
7.001000000000000000e+03,2.367142857142856549e+00
7.501000000000000000e+03,2.078571428571428292e+00
8.001000000000000000e+03,1.722857142857142865e+00
8.501000000000000000e+03,1.595714285714285641e+00
9.001000000000000000e+03,1.344285714285714306e+00
9.501000000000000000e+03,1.065714285714285836e+00
1.000100000000000000e+04,9.585714285714281857e-01
1.050100000000000000e+04,8.500000000000000888e-01
1.100100000000000000e+04,7.200000000000001954e-01
1.150100000000000000e+04,6.657142857142859249e-01
1.200100000000000000e+04,5.514285714285711570e-01
1.250100000000000000e+04,5.628571428571431667e-01
1.300100000000000000e+04,4.271428571428572685e-01
1.350100000000000000e+04,3.399999999999998579e-01
1.400100000000000000e+04,4.057142857142854719e-01
1.450100000000000000e+04,5.771428571428569576e-01
1.500100000000000000e+04,4.714285714285710860e-01
1.550100000000000000e+04,3.714285714285712192e-01
1.600100000000000000e+04,2.585714285714284522e-01
1.650100000000000000e+04,3.271428571428569576e-01
1.700100000000000000e+04,5.057142857142853387e-01
1.750100000000000000e+04,3.814285714285714501e-01
1.800100000000000000e+04,3.457142857142858627e-01
1.850100000000000000e+04,3.485714285714285321e-01
1.900100000000000000e+04,3.385714285714287453e-01
1.950100000000000000e+04,5.557142857142856052e-01
2.000100000000000000e+04,3.757142857142858894e-01
2.050100000000000000e+04,4.171428571428570375e-01
2.100100000000000000e+04,3.714285714285716633e-01
2.150100000000000000e+04,5.957142857142856407e-01
2.200100000000000000e+04,5.314285714285715834e-01
2.250100000000000000e+04,5.828571428571427404e-01
2.300100000000000000e+04,3.742857142857141106e-01
2.350100000000000000e+04,5.242857142857144659e-01
2.400100000000000000e+04,6.942857142857143948e-01
2.450100000000000000e+04,4.942857142857144392e-01
2.500100000000000000e+04,4.900000000000002132e-01
2.550100000000000000e+04,5.585714285714287186e-01
2.600100000000000000e+04,5.714285714285716189e-01
2.650100000000000000e+04,4.399999999999997247e-01
2.700100000000000000e+04,5.371428571428569221e-01
2.750100000000000000e+04,7.185714285714284166e-01
2.800100000000000000e+04,5.400000000000000355e-01
2.850100000000000000e+04,5.414285714285713702e-01
2.900100000000000000e+04,5.342857142857142527e-01
2.950100000000000000e+04,6.214285714285714413e-01
3.000100000000000000e+04,4.928571428571431046e-01
3.050100000000000000e+04,4.757142857142857562e-01
3.100100000000000000e+04,5.028571428571431134e-01
3.150100000000000000e+04,4.642857142857141906e-01
3.200100000000000000e+04,4.657142857142859693e-01
3.250100000000000000e+04,5.585714285714287186e-01
3.300100000000000000e+04,4.342857142857143860e-01
3.350100000000000000e+04,5.014285714285713347e-01
3.400100000000000000e+04,5.942857142857143060e-01
3.450100000000000000e+04,4.128571428571425894e-01
3.500100000000000000e+04,5.485714285714284877e-01
3.550100000000000000e+04,4.342857142857143860e-01
3.600100000000000000e+04,4.071428571428568066e-01
3.650100000000000000e+04,3.742857142857141106e-01
3.700100000000000000e+04,3.157142857142856140e-01
