episode,agent0
1.000000000000000000e+00,4.763311703656217588e+00
5.010000000000000000e+02,5.107330042747622478e+00
1.001000000000000000e+03,5.220146456804944712e+00
1.501000000000000000e+03,5.397757297730574777e+00
2.001000000000000000e+03,5.494231059873217582e+00
2.501000000000000000e+03,5.704320789597090879e+00
3.001000000000000000e+03,5.742252540641183955e+00
3.501000000000000000e+03,5.645721860709021378e+00
4.001000000000000000e+03,5.403638988552971867e+00
4.501000000000000000e+03,5.034741044173800972e+00
5.001000000000000000e+03,4.691013933512683032e+00
5.501000000000000000e+03,4.099343847117692619e+00
6.001000000000000000e+03,3.622622346566641394e+00
6.501000000000000000e+03,3.071482978069941527e+00
7.001000000000000000e+03,2.626782063191912542e+00
7.501000000000000000e+03,2.380606533205785080e+00
8.001000000000000000e+03,1.998903086555053443e+00
8.501000000000000000e+03,1.830415949329587066e+00
9.001000000000000000e+03,1.602511837084370949e+00
9.501000000000000000e+03,1.308748263110649512e+00
1.000100000000000000e+04,1.224645402371061120e+00
1.050100000000000000e+04,1.089490506820506077e+00
1.100100000000000000e+04,8.890217326927192243e-01
1.150100000000000000e+04,9.104483152024313020e-01
1.200100000000000000e+04,7.704256982917883079e-01
1.250100000000000000e+04,7.930082231647617164e-01
1.300100000000000000e+04,6.644856123308622298e-01
1.350100000000000000e+04,5.638189355670499836e-01
1.400100000000000000e+04,6.542309149072285113e-01
1.450100000000000000e+04,8.607171712185478496e-01
1.500100000000000000e+04,7.699925076689073666e-01
1.550100000000000000e+04,6.235422798668616151e-01
1.600100000000000000e+04,5.030325442617322729e-01
1.650100000000000000e+04,6.145208443337096815e-01
1.700100000000000000e+04,7.699213888602258749e-01
1.750100000000000000e+04,6.956180572534720330e-01
1.800100000000000000e+04,6.322162269509230548e-01
1.850100000000000000e+04,7.003109558408722179e-01
1.900100000000000000e+04,6.533031996031963828e-01
1.950100000000000000e+04,9.505517535486223135e-01
2.000100000000000000e+04,7.330976000320779118e-01
2.050100000000000000e+04,7.781813747491302946e-01
2.100100000000000000e+04,8.138878022760014375e-01
2.150100000000000000e+04,1.042994807523031975e+00
2.200100000000000000e+04,9.754644106040859519e-01
2.250100000000000000e+04,1.083056546127548536e+00
2.300100000000000000e+04,9.261777052398322274e-01
2.350100000000000000e+04,1.051765525182577266e+00
2.400100000000000000e+04,1.247823181894409661e+00
2.450100000000000000e+04,1.021824157304774161e+00
2.500100000000000000e+04,1.006264687689466530e+00
2.550100000000000000e+04,1.143699795738958969e+00
2.600100000000000000e+04,1.126096194960675811e+00
2.650100000000000000e+04,1.027629004160458326e+00
2.700100000000000000e+04,1.129706415235158579e+00
2.750100000000000000e+04,1.308911005306766739e+00
2.800100000000000000e+04,1.160309000023539872e+00
2.850100000000000000e+04,1.205819129931177791e+00
2.900100000000000000e+04,1.160391501042163487e+00
2.950100000000000000e+04,1.246807829047544836e+00
3.000100000000000000e+04,1.077603334939245538e+00
3.050100000000000000e+04,1.082850551128682781e+00
3.100100000000000000e+04,1.114233961570971543e+00
3.150100000000000000e+04,1.090603747117860234e+00
3.200100000000000000e+04,1.098687583572694360e+00
3.250100000000000000e+04,1.249251029667524993e+00
3.300100000000000000e+04,1.039862792314929729e+00
3.350100000000000000e+04,1.148145787129953632e+00
3.400100000000000000e+04,1.213150733927673919e+00
3.450100000000000000e+04,1.080020679835060893e+00
3.500100000000000000e+04,1.225339100055654384e+00
3.550100000000000000e+04,1.080945870344832027e+00
3.600100000000000000e+04,1.022568434608903676e+00
3.650100000000000000e+04,1.045908965610530039e+00
3.700100000000000000e+04,9.938662179158298526e-01
3.750100000000000000e+04,1.034826563270557109e+00
3.800100000000000000e+04,1.051496322337346356e+00
3.850100000000000000e+04,1.054424112465638608e+00
3.900100000000000000e+04,1.070391789959629136e+00
3.950100000000000000e+04,9.685921121875760154e-01
4.000100000000000000e+04,9.691167630851650339e-01
4.050100000000000000e+04,1.074541905972722367e+00
4.100100000000000000e+04,1.227800728592075785e+00
4.150100000000000000e+04,1.101372530374907566e+00
4.200100000000000000e+04,1.005570611083054899e+00
4.250100000000000000e+04,1.066070766084481702e+00
4.300100000000000000e+04,1.099625318749922531e+00
4.350100000000000000e+04,1.120949770179445526e+00
4.400100000000000000e+04,1.027535136290445905e+00
4.450100000000000000e+04,1.094915168228892455e+00
4.500100000000000000e+04,1.100643713241988841e+00
4.550100000000000000e+04,1.136155603918204804e+00
4.600100000000000000e+04,1.228226132181369001e+00
4.650100000000000000e+04,1.179866335853009485e+00
4.700100000000000000e+04,1.124184548078294599e+00
4.750100000000000000e+04,1.108618062758456979e+00
4.800100000000000000e+04,1.097825488149447803e+00
4.850100000000000000e+04,1.129551222808059308e+00
4.900100000000000000e+04,1.167692996995915777e+00
4.950100000000000000e+04,1.237519311012400980e+00
5.000100000000000000e+04,1.317234614044161090e+00
5.050100000000000000e+04,1.104316131414168733e+00
5.100100000000000000e+04,1.099985567706333267e+00
5.150100000000000000e+04,1.281517597026222255e+00
5.200100000000000000e+04,1.283394311967203327e+00
5.250100000000000000e+04,1.343811510044399027e+00
5.300100000000000000e+04,1.323929024328767579e+00
5.350100000000000000e+04,1.257759811044662390e+00
5.400100000000000000e+04,1.149951116444935639e+00
5.450100000000000000e+04,1.176143181665389337e+00
5.500100000000000000e+04,1.278788161140086643e+00
5.550100000000000000e+04,1.257153173549791170e+00
5.600100000000000000e+04,1.303738511802569278e+00
5.650100000000000000e+04,1.304569319010550732e+00
5.700100000000000000e+04,1.261287656971067150e+00
5.750100000000000000e+04,1.236390748116769078e+00
5.800100000000000000e+04,1.279105447733093204e+00
5.850100000000000000e+04,1.174979678726662646e+00
5.900100000000000000e+04,1.322131930253074295e+00
5.950100000000000000e+04,1.361957019570778193e+00
6.000100000000000000e+04,1.314912116200115166e+00
6.050100000000000000e+04,1.325108894268454129e+00
6.100100000000000000e+04,1.228822402755465504e+00
6.150100000000000000e+04,1.395771218550657888e+00
6.200100000000000000e+04,1.325468960611783764e+00
6.250100000000000000e+04,1.274295342216116955e+00
6.300100000000000000e+04,1.170515325284691377e+00
6.350100000000000000e+04,1.306491583965952330e+00
6.400100000000000000e+04,1.258275259335128959e+00
6.450100000000000000e+04,1.248869233778399757e+00
6.500100000000000000e+04,1.191504332427383961e+00
6.550100000000000000e+04,1.222236589885300262e+00
6.600100000000000000e+04,1.291444076176128997e+00
6.650100000000000000e+04,1.113565425554051469e+00
6.700100000000000000e+04,1.160315377426021755e+00
6.750100000000000000e+04,1.269247155154657580e+00
6.800100000000000000e+04,1.169914398237110964e+00
6.850100000000000000e+04,1.128387665030885501e+00
6.900100000000000000e+04,1.233321344215340343e+00
6.950100000000000000e+04,1.351762710746039708e+00
7.000100000000000000e+04,1.086260198921555231e+00
7.050100000000000000e+04,1.110405458989917493e+00
7.100100000000000000e+04,1.199777818571701182e+00
7.150100000000000000e+04,1.166442438338402221e+00
7.200100000000000000e+04,1.182533824290046054e+00
7.250100000000000000e+04,1.164098464431181590e+00
7.300100000000000000e+04,1.269455297157941587e+00
7.350100000000000000e+04,1.188575507831664879e+00
7.400100000000000000e+04,1.229779357532894579e+00
7.450100000000000000e+04,1.025317861412607279e+00
7.500100000000000000e+04,1.112083699994056651e+00
7.550100000000000000e+04,1.200713508568284293e+00
7.600100000000000000e+04,1.012050630670374485e+00
7.650100000000000000e+04,1.212063961718906402e+00
7.700100000000000000e+04,1.254196332620551857e+00
7.750100000000000000e+04,1.281349539824718331e+00
7.800100000000000000e+04,1.291746615794949316e+00
7.850100000000000000e+04,1.205136905988474005e+00
7.900100000000000000e+04,1.226894724510094514e+00
7.950100000000000000e+04,1.122171207419712102e+00
8.000100000000000000e+04,1.184581629340808906e+00
8.050100000000000000e+04,1.044759250221824587e+00
8.100100000000000000e+04,1.019902452631535450e+00
8.150100000000000000e+04,1.118677292767751963e+00
8.200100000000000000e+04,1.237936246350856972e+00
8.250100000000000000e+04,1.155615208117575232e+00
8.300100000000000000e+04,1.276958369348181410e+00
8.350100000000000000e+04,1.260405208995754034e+00
8.400100000000000000e+04,1.174095508560468737e+00
8.450100000000000000e+04,1.342850679547898718e+00
8.500100000000000000e+04,1.246850959564485439e+00
8.550100000000000000e+04,1.094419491142012202e+00
8.600100000000000000e+04,1.226770141443046302e+00
8.650100000000000000e+04,1.233775799756766212e+00
8.700100000000000000e+04,1.123180544559262195e+00
8.750100000000000000e+04,1.148891312397584130e+00
8.800100000000000000e+04,1.278864922332678455e+00
8.850100000000000000e+04,1.181103541834945370e+00
8.900100000000000000e+04,1.139872420372720851e+00
8.950100000000000000e+04,1.173058612521251654e+00
9.000100000000000000e+04,1.180625661023527062e+00
9.050100000000000000e+04,1.227063955784676974e+00
9.100100000000000000e+04,1.226492368116070875e+00
9.150100000000000000e+04,1.162675363975754994e+00
9.200100000000000000e+04,1.337226160652922324e+00
9.250100000000000000e+04,1.290905898940856167e+00
9.300100000000000000e+04,1.136765528569077199e+00
9.350100000000000000e+04,1.457838386888793636e+00
9.400100000000000000e+04,1.152396944115239297e+00
9.450100000000000000e+04,1.195047061117219034e+00
9.500100000000000000e+04,1.168945878952365014e+00
9.550100000000000000e+04,1.183307470015045437e+00
9.600100000000000000e+04,1.168873351691500861e+00
9.650100000000000000e+04,1.246254299508975816e+00
9.700100000000000000e+04,1.337759728696223283e+00
9.750100000000000000e+04,1.193428393821248434e+00
9.800100000000000000e+04,1.127451781291392230e+00
9.850100000000000000e+04,1.062536129421730147e+00
9.900100000000000000e+04,1.193028984087742383e+00
9.950100000000000000e+04,1.295040288125037575e+00
