episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.325776923105284055e+01,-2.850810375790994655e+01,-2.826608127264017511e+01
5.010000000000000000e+02,-3.234189032146723264e+01,-2.855484990030134895e+01,-2.782220755722790173e+01
1.001000000000000000e+03,-3.134976711022425633e+01,-2.800139218652652318e+01,-2.779409260763518219e+01
1.501000000000000000e+03,-3.058749969732217622e+01,-2.802930749177093261e+01,-2.769553201411276078e+01
2.001000000000000000e+03,-3.048985224704242114e+01,-2.722349822292427390e+01,-2.742724011839670695e+01
2.501000000000000000e+03,-2.956290874013687286e+01,-2.722739247782227778e+01,-2.703452567105989957e+01
3.001000000000000000e+03,-2.940280193496716166e+01,-2.730730861801979259e+01,-2.702848073512460303e+01
3.501000000000000000e+03,-2.911589952482935573e+01,-2.720619171271280479e+01,-2.680456601085273149e+01
4.001000000000000000e+03,-2.907412505821590187e+01,-2.686772495199651800e+01,-2.701750092871237996e+01
4.501000000000000000e+03,-2.864844398303631223e+01,-2.700082350183803470e+01,-2.633928002747040154e+01
5.001000000000000000e+03,-2.851558105855200154e+01,-2.727306164736377170e+01,-2.637304299419458431e+01
5.501000000000000000e+03,-2.856703624010885534e+01,-2.714216755919453661e+01,-2.619377872229675219e+01
6.001000000000000000e+03,-2.840641772434623036e+01,-2.724463379645887784e+01,-2.636378649692271381e+01
6.501000000000000000e+03,-2.836705077238324080e+01,-2.686480303067218856e+01,-2.610752036418430677e+01
7.001000000000000000e+03,-2.849248062748126742e+01,-2.724476984032845195e+01,-2.552098118604667576e+01
7.501000000000000000e+03,-2.835355508424646942e+01,-2.699032826236251736e+01,-2.564796621664372012e+01
8.001000000000000000e+03,-2.822296033611062072e+01,-2.635341474459774602e+01,-2.492987850955738338e+01
8.501000000000000000e+03,-2.823738893096013669e+01,-2.631394506083661611e+01,-2.502548389433446729e+01
9.001000000000000000e+03,-2.814710881861099168e+01,-2.585239198245833947e+01,-2.490445262374728230e+01
9.501000000000000000e+03,-2.834289703801812266e+01,-2.615149886917060940e+01,-2.418033541807494302e+01
1.000100000000000000e+04,-2.797860452690802902e+01,-2.469115665714309316e+01,-2.408430479939385194e+01
1.050100000000000000e+04,-2.779248945157290152e+01,-2.444618964255621307e+01,-2.367887726536113391e+01
1.100100000000000000e+04,-2.768221898158471461e+01,-2.410501183631597399e+01,-2.355352672451886775e+01
1.150100000000000000e+04,-2.791057127664062065e+01,-2.425899833000369199e+01,-2.334067195572259834e+01
1.200100000000000000e+04,-2.774846768936349761e+01,-2.390729211353278671e+01,-2.264529048053753968e+01
1.250100000000000000e+04,-2.776089918098585585e+01,-2.360397345332733821e+01,-2.279491223217016227e+01
1.300100000000000000e+04,-2.775517917817137459e+01,-2.386448889574530341e+01,-2.252600858663488737e+01
1.350100000000000000e+04,-2.746156707366480987e+01,-2.345100296807743945e+01,-2.182545694417767024e+01
1.400100000000000000e+04,-2.743965188656069287e+01,-2.338415231804670569e+01,-2.202536543686658987e+01
1.450100000000000000e+04,-2.738065328610478844e+01,-2.290108238234630278e+01,-2.152072796058725856e+01
1.500100000000000000e+04,-2.718675237981194925e+01,-2.293955358098807551e+01,-2.147793974128500238e+01
1.550100000000000000e+04,-2.710171655045142103e+01,-2.235049874480385412e+01,-2.138709088907070210e+01
1.600100000000000000e+04,-2.710741728765181335e+01,-2.269409447967963089e+01,-2.082759153862331303e+01
1.650100000000000000e+04,-2.688919761680390508e+01,-2.268189897166879732e+01,-2.079910533157067931e+01
1.700100000000000000e+04,-2.692700594613020115e+01,-2.236185598814801523e+01,-2.068440622544262197e+01
1.750100000000000000e+04,-2.685995915042942883e+01,-2.235415209551038629e+01,-2.005669686948283115e+01
1.800100000000000000e+04,-2.687374996169592123e+01,-2.186467966016783038e+01,-2.020300334342536885e+01
1.850100000000000000e+04,-2.667935131017032901e+01,-2.214054739213247203e+01,-2.026668097102325561e+01
1.900100000000000000e+04,-2.657426407166795812e+01,-2.208367456646999116e+01,-1.951344032957832653e+01
1.950100000000000000e+04,-2.669629522068152028e+01,-2.210540948359330926e+01,-1.932728685053105977e+01
2.000100000000000000e+04,-2.665545751593651858e+01,-2.138450403255616550e+01,-1.962305217354912656e+01
2.050100000000000000e+04,-2.667727861651614418e+01,-2.185049632939059805e+01,-1.930067905073198986e+01
2.100100000000000000e+04,-2.652083518109913030e+01,-2.165838781346596775e+01,-1.898259183915116921e+01
2.150100000000000000e+04,-2.645077654728680372e+01,-2.179797719823791624e+01,-1.906157637931251259e+01
2.200100000000000000e+04,-2.643731088900021220e+01,-2.178634162367235305e+01,-1.835013559168002217e+01
2.250100000000000000e+04,-2.646073279300654946e+01,-2.094664149122646890e+01,-1.875320375031729014e+01
2.300100000000000000e+04,-2.634361229064967702e+01,-2.119893508938019622e+01,-1.825698017557484576e+01
2.350100000000000000e+04,-2.636817510463020753e+01,-2.096110145188790952e+01,-1.823094132984610027e+01
2.400100000000000000e+04,-2.635090338250909170e+01,-2.031695860371977247e+01,-1.844063059682664374e+01
2.450100000000000000e+04,-2.639911043838129245e+01,-2.034773230446973713e+01,-1.819672013725106297e+01
2.500100000000000000e+04,-2.644765819412948815e+01,-2.052269818363160780e+01,-1.784800890939045459e+01
2.550100000000000000e+04,-2.635835654834284014e+01,-2.039437091401718760e+01,-1.838788997018876614e+01
2.600100000000000000e+04,-2.637696325291695132e+01,-2.045431126738638383e+01,-1.791228269639392323e+01
2.650100000000000000e+04,-2.640886182647591340e+01,-2.023708068082162015e+01,-1.796534271831415452e+01
2.700100000000000000e+04,-2.639163476933122965e+01,-2.036632781926395452e+01,-1.816572304202869859e+01
2.750100000000000000e+04,-2.641089892756201607e+01,-2.021648639677728809e+01,-1.793829538345132946e+01
2.800100000000000000e+04,-2.636378167422758878e+01,-2.022962733236055399e+01,-1.807615124581447574e+01
2.850100000000000000e+04,-2.631350310307081131e+01,-2.037400741415951444e+01,-1.786957106550527641e+01
2.900100000000000000e+04,-2.634949603548530916e+01,-2.002629585044549998e+01,-1.776740485356781463e+01
2.950100000000000000e+04,-2.644191675605425118e+01,-2.015528326529505065e+01,-1.750903176245740411e+01
3.000100000000000000e+04,-2.630693689887304743e+01,-2.021919715628199299e+01,-1.742587974270725582e+01
3.050100000000000000e+04,-2.635806512892995102e+01,-2.002330557477558770e+01,-1.744696121179027060e+01
