episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.241875716442633149e+01,-2.755922632653632220e+01,-2.751713295091964184e+01
5.010000000000000000e+02,-3.170696605190989814e+01,-2.758853277869484799e+01,-2.717394383298016081e+01
1.001000000000000000e+03,-3.088126890628168653e+01,-2.715298580430683373e+01,-2.713733589533509871e+01
1.501000000000000000e+03,-3.016110863883714188e+01,-2.728282197806203868e+01,-2.702192264112607134e+01
2.001000000000000000e+03,-3.007015518332917736e+01,-2.651133516739040985e+01,-2.662732487272106852e+01
2.501000000000000000e+03,-2.923372364619377706e+01,-2.647682601880152475e+01,-2.624400692536209334e+01
3.001000000000000000e+03,-2.906316140438188356e+01,-2.670602149926586222e+01,-2.617815896868351544e+01
3.501000000000000000e+03,-2.879042678001811240e+01,-2.653629447221515392e+01,-2.594988241738387913e+01
4.001000000000000000e+03,-2.875023548809668128e+01,-2.604708921187311077e+01,-2.607001883909770967e+01
4.501000000000000000e+03,-2.840973433195831532e+01,-2.624212048198851477e+01,-2.551186401182367192e+01
5.001000000000000000e+03,-2.823879733259346736e+01,-2.648331273240061279e+01,-2.524026351160143022e+01
5.501000000000000000e+03,-2.836374339693362145e+01,-2.620923586455264953e+01,-2.485230742450142927e+01
6.001000000000000000e+03,-2.817534741328489289e+01,-2.636810602872638043e+01,-2.505891595626071222e+01
6.501000000000000000e+03,-2.818051722058499564e+01,-2.548459544778878083e+01,-2.455291176981142698e+01
7.001000000000000000e+03,-2.816688383693857389e+01,-2.568227386775117438e+01,-2.344801701815244854e+01
7.501000000000000000e+03,-2.810507488430786083e+01,-2.483261034341204621e+01,-2.345984522730479327e+01
8.001000000000000000e+03,-2.798736364979754754e+01,-2.420171353812239445e+01,-2.246969791401841832e+01
8.501000000000000000e+03,-2.795281691490643183e+01,-2.391425798649979129e+01,-2.236126742219663655e+01
9.001000000000000000e+03,-2.777493588897821297e+01,-2.322450660831260194e+01,-2.215769792650061376e+01
9.501000000000000000e+03,-2.789476246170356788e+01,-2.317342764943035860e+01,-2.111311192399316283e+01
1.000100000000000000e+04,-2.758989049354285683e+01,-2.143748531500596854e+01,-2.138614080732229894e+01
1.050100000000000000e+04,-2.744908893713285991e+01,-2.121704243289934055e+01,-2.094876772856556002e+01
1.100100000000000000e+04,-2.731186786147713974e+01,-2.048248619178587049e+01,-2.058104069387780655e+01
