# episode,agent0,agent1,agent2
1.000000000000000000e+00,-3.157974509779981886e+01,-2.661034889516269786e+01,-2.676818462919910857e+01
5.010000000000000000e+02,-3.107204178235256364e+01,-2.662221565708834703e+01,-2.652568010873241988e+01
1.001000000000000000e+03,-3.041277070233911672e+01,-2.630457942208714428e+01,-2.648057918303501523e+01
1.501000000000000000e+03,-2.973471758035210755e+01,-2.653633646435314475e+01,-2.634831326813938190e+01
2.001000000000000000e+03,-2.965045811961593358e+01,-2.579917211185654580e+01,-2.582740962704543008e+01
2.501000000000000000e+03,-2.890453855225068125e+01,-2.572625955978077172e+01,-2.545348817966428712e+01
3.001000000000000000e+03,-2.872352087379660546e+01,-2.610473438051193185e+01,-2.532783720224242785e+01
3.501000000000000000e+03,-2.846495403520686907e+01,-2.586639723171750305e+01,-2.509519882391502676e+01
4.001000000000000000e+03,-2.842634591797746069e+01,-2.522645347174970354e+01,-2.512253674948303939e+01
4.501000000000000000e+03,-2.817102468088031841e+01,-2.548341746213899484e+01,-2.468444799617694230e+01
5.001000000000000000e+03,-2.796201360663493318e+01,-2.569356381743745388e+01,-2.410748402900827614e+01
5.501000000000000000e+03,-2.816045055375838757e+01,-2.527630416991076245e+01,-2.351083612670610634e+01
6.001000000000000000e+03,-2.794427710222355543e+01,-2.549157826099388302e+01,-2.375404541559871063e+01
6.501000000000000000e+03,-2.799398366878675048e+01,-2.410438786490537311e+01,-2.299830317543854719e+01
7.001000000000000000e+03,-2.784128704639588037e+01,-2.411977789517389681e+01,-2.137505285025822133e+01
7.501000000000000000e+03,-2.785659468436925224e+01,-2.267489242446157505e+01,-2.127172423796586642e+01
8.001000000000000000e+03,-2.775176696348447436e+01,-2.205001233164704288e+01,-2.000951731847945325e+01
8.501000000000000000e+03,-2.766824489885272698e+01,-2.151457091216296647e+01,-1.969705095005880580e+01
9.001000000000000000e+03,-2.740276295934543427e+01,-2.059662123416686441e+01,-1.941094322925394522e+01
9.501000000000000000e+03,-2.744662788538901310e+01,-2.019535642969010780e+01,-1.804588842991138264e+01
1.000100000000000000e+04,-2.720117646017768465e+01,-1.818381397286884393e+01,-1.868797681525074594e+01
1.050100000000000000e+04,-2.710568842269281831e+01,-1.798789522324246803e+01,-1.821865819176998613e+01
1.100100000000000000e+04,-2.694151674136956487e+01,-1.685996054725576698e+01,-1.760855466323674534e+01
1.150100000000000000e+04,-2.705353141440366116e+01,-1.753816177242957508e+01,-1.791373555437903775e+01
1.200100000000000000e+04,-2.690249587533792308e+01,-1.688462585533323690e+01,-1.708724491763827302e+01
1.250100000000000000e+04,-2.706014113481414896e+01,-1.629507305495061686e+01,-1.705384199799310352e+01
1.300100000000000000e+04,-2.687640420806862096e+01,-1.624311338871408594e+01,-1.694786377174123970e+01
1.350100000000000000e+04,-2.675897965095375497e+01,-1.632072202994144305e+01,-1.611538852250223286e+01
1.400100000000000000e+04,-2.677879437718786804e+01,-1.654020279795849646e+01,-1.685545132560473647e+01
1.450100000000000000e+04,-2.672160500524805826e+01,-1.530311660085146030e+01,-1.596526882583438045e+01
1.500100000000000000e+04,-2.658410953929232790e+01,-1.579137153304223062e+01,-1.581655617906397637e+01
1.550100000000000000e+04,-2.655124361328122973e+01,-1.479975383928482202e+01,-1.581376548990582265e+01
1.600100000000000000e+04,-2.657349533008675024e+01,-1.584352851020627817e+01,-1.529815286396290830e+01
1.650100000000000000e+04,-2.644185556620466571e+01,-1.577552274099038598e+01,-1.542308869712779540e+01
1.700100000000000000e+04,-2.653161605641204090e+01,-1.546270692011892578e+01,-1.508183474701268523e+01
1.750100000000000000e+04,-2.644173462009628039e+01,-1.545652522152829000e+01,-1.454869791740155804e+01
1.800100000000000000e+04,-2.644619114232836665e+01,-1.458685581435297962e+01,-1.494158330727666772e+01
1.850100000000000000e+04,-2.633803860061037838e+01,-1.548984501956283033e+01,-1.492713984580552022e+01
1.900100000000000000e+04,-2.629821904009631695e+01,-1.541021809259316377e+01,-1.402018218935626592e+01
1.950100000000000000e+04,-2.639942862009204561e+01,-1.549985495163127247e+01,-1.383421451310995742e+01
