episode,agent0,agent1,agent2
1.000000000000000000e+00,2.227783017107747909e+01,2.110674405823662170e+01,2.194398409061659194e+01
5.010000000000000000e+02,2.202857613406195014e+01,2.143807725807431552e+01,2.187921276131766035e+01
1.001000000000000000e+03,2.239101560837804783e+01,2.143311136636215863e+01,2.217400309232540678e+01
1.501000000000000000e+03,2.258944662276052995e+01,2.161700554238016636e+01,2.227283227456639381e+01
2.001000000000000000e+03,2.288357808473119093e+01,2.223469666019074609e+01,2.274406059748413256e+01
2.501000000000000000e+03,2.318717897078043322e+01,2.243529644276015844e+01,2.338325865849641971e+01
3.001000000000000000e+03,2.356974924765836477e+01,2.312209897945935921e+01,2.398483350599316921e+01
3.501000000000000000e+03,2.414652485703771134e+01,2.364335964557325198e+01,2.482031392372340406e+01
4.001000000000000000e+03,2.463249354904654354e+01,2.394654078903002059e+01,2.557433639084643318e+01
4.501000000000000000e+03,2.546700852701244955e+01,2.436047197580632684e+01,2.549273469249184387e+01
5.001000000000000000e+03,2.573960511870875933e+01,2.496169855619437783e+01,2.563885334260430326e+01
5.501000000000000000e+03,2.639602701034418075e+01,2.521858981224568552e+01,2.605197543092456414e+01
6.001000000000000000e+03,2.677657145288232599e+01,2.599703622052007290e+01,2.643546922511620423e+01
6.501000000000000000e+03,2.694403689597947249e+01,2.618012550532935023e+01,2.678643034755134167e+01
7.001000000000000000e+03,2.750035312761989914e+01,2.635226538889713055e+01,2.719911834573620268e+01
7.501000000000000000e+03,2.785088473012036658e+01,2.657600001761811725e+01,2.756299343352380760e+01
8.001000000000000000e+03,2.820694029045062479e+01,2.675014441779131147e+01,2.775380236192855321e+01
8.501000000000000000e+03,2.855026902295562152e+01,2.700596471305684787e+01,2.796539284637735534e+01
9.001000000000000000e+03,2.876301059768310608e+01,2.698243571756449910e+01,2.794578980318230776e+01
9.501000000000000000e+03,2.887056300466980829e+01,2.667173603754011424e+01,2.783977752094334690e+01
1.000100000000000000e+04,2.889131654363774970e+01,2.679765693984211694e+01,2.731218681000365933e+01
