episode,agent0,agent1,agent2
1.000000000000000000e+00,2.294191436747989599e+01,2.171336302567056364e+01,2.285514442005505131e+01
5.010000000000000000e+02,2.257127204311825253e+01,2.199453443156803800e+01,2.277589107203732155e+01
1.001000000000000000e+03,2.294160549796729853e+01,2.208914666351707368e+01,2.319598636888215637e+01
1.501000000000000000e+03,2.310922208238890008e+01,2.241231243603599310e+01,2.344687583590050650e+01
2.001000000000000000e+03,2.352143192892894419e+01,2.311471180898447741e+01,2.406433105330044597e+01
2.501000000000000000e+03,2.386267857591497688e+01,2.361450023441637569e+01,2.496623322477439899e+01
3.001000000000000000e+03,2.426612530471757978e+01,2.447224394544089421e+01,2.571292789135501167e+01
3.501000000000000000e+03,2.490734720746365483e+01,2.505450102899223097e+01,2.668772330760707234e+01
4.001000000000000000e+03,2.542518732303629037e+01,2.558036884914213971e+01,2.768324793539475337e+01
4.501000000000000000e+03,2.622099679724374965e+01,2.607491968163600049e+01,2.769041233097761889e+01
5.001000000000000000e+03,2.655543205651144234e+01,2.661920968044300650e+01,2.780738740160440869e+01
5.501000000000000000e+03,2.727678674486776345e+01,2.693848877166832878e+01,2.805619014770288544e+01
6.001000000000000000e+03,2.770234069437906399e+01,2.782186741284653309e+01,2.846475731610009774e+01
6.501000000000000000e+03,2.790155271506061396e+01,2.837954344723621958e+01,2.888899261001497365e+01
7.001000000000000000e+03,2.835908471016833943e+01,2.846798377438013716e+01,2.907724416538080092e+01
7.501000000000000000e+03,2.867873263643681625e+01,2.852909901082515276e+01,2.926293465461582244e+01
8.001000000000000000e+03,2.906142746500919216e+01,2.836429075808202072e+01,2.932734546884149651e+01
8.501000000000000000e+03,2.965870250628764282e+01,2.824630829218899208e+01,2.939444355072578219e+01
9.001000000000000000e+03,2.967273733903467559e+01,2.807379826569929548e+01,2.920017755490790279e+01
9.501000000000000000e+03,2.993407704880088716e+01,2.768398917691905936e+01,2.885172764734427275e+01
1.000100000000000000e+04,3.001775598179300530e+01,2.770014311199387436e+01,2.814965705369040450e+01
1.050100000000000000e+04,3.010391513958573384e+01,2.822003152804201065e+01,2.803179455690706945e+01
1.100100000000000000e+04,3.002351572449257233e+01,2.799696406236539659e+01,2.735901324185605077e+01
1.150100000000000000e+04,2.973199724463621507e+01,2.752732408071308967e+01,2.740293033035223758e+01
1.200100000000000000e+04,2.983450690824166429e+01,2.751504715326179706e+01,2.750379913772394858e+01
1.250100000000000000e+04,2.901934755497177676e+01,2.663081581092873407e+01,2.710305553261004263e+01
1.300100000000000000e+04,2.858543097101648911e+01,2.641819953881700656e+01,2.664002459582314231e+01
1.350100000000000000e+04,2.755079933981101092e+01,2.610960897091155175e+01,2.666879194322352831e+01
1.400100000000000000e+04,2.688767742577195108e+01,2.598242491445441971e+01,2.607592149338001875e+01
1.450100000000000000e+04,2.577175826224932820e+01,2.565300013061115791e+01,2.585130567320002015e+01
1.500100000000000000e+04,2.594979157231871980e+01,2.548561992379774566e+01,2.593770793039848499e+01
1.550100000000000000e+04,2.582514475123583964e+01,2.533182047859207131e+01,2.611868127627422353e+01
1.600100000000000000e+04,2.542946195606887372e+01,2.507270545777679160e+01,2.593702869730442728e+01
1.650100000000000000e+04,2.503780691072965681e+01,2.487729914001686282e+01,2.570820465574661284e+01
1.700100000000000000e+04,2.469401587632795270e+01,2.433603549110641495e+01,2.502305668378620851e+01
