episode,agent0,agent1,agent2
1.000000000000000000e+00,2.360599856388231288e+01,2.231998199310450559e+01,2.376630474949351068e+01
5.010000000000000000e+02,2.311396795217455491e+01,2.255099160506176048e+01,2.367256938275698275e+01
1.001000000000000000e+03,2.349219538755654924e+01,2.274518196067198872e+01,2.421796964543890596e+01
1.501000000000000000e+03,2.362899754201727021e+01,2.320761932969181984e+01,2.462091939723461920e+01
2.001000000000000000e+03,2.415928577312669745e+01,2.399472695777820874e+01,2.538460150911675939e+01
2.501000000000000000e+03,2.453817818104952053e+01,2.479370402607259294e+01,2.654920779105237827e+01
3.001000000000000000e+03,2.496250136177679479e+01,2.582238891142242920e+01,2.744102227671685412e+01
3.501000000000000000e+03,2.566816955788959831e+01,2.646564241241120996e+01,2.855513269149074063e+01
4.001000000000000000e+03,2.621788109702603720e+01,2.721419690925425883e+01,2.979215947994307356e+01
4.501000000000000000e+03,2.697498506747504976e+01,2.778936738746567414e+01,2.988808996946339391e+01
5.001000000000000000e+03,2.737125899431412535e+01,2.827672080469163518e+01,2.997592146060451412e+01
5.501000000000000000e+03,2.815754647939134614e+01,2.865838773109097204e+01,3.006040486448120674e+01
6.001000000000000000e+03,2.862810993587580199e+01,2.964669860517299327e+01,3.049404540708399125e+01
6.501000000000000000e+03,2.885906853414175544e+01,3.057896138914308892e+01,3.099155487247860563e+01
7.001000000000000000e+03,2.921781629271677971e+01,3.058370215986314378e+01,3.095536998502539916e+01
7.501000000000000000e+03,2.950658054275326592e+01,3.048219800403218827e+01,3.096287587570783728e+01
8.001000000000000000e+03,2.991591463956775954e+01,2.997843709837272996e+01,3.090088857575443981e+01
8.501000000000000000e+03,3.076713598961966412e+01,2.948665187132113630e+01,3.082349425507420904e+01
9.001000000000000000e+03,3.058246408038624509e+01,2.916516081383409187e+01,3.045456530663349781e+01
9.501000000000000000e+03,3.099759109293196602e+01,2.869624231629800448e+01,2.986367777374519861e+01
1.000100000000000000e+04,3.114419541994826091e+01,2.860262928414563177e+01,2.898712729737714966e+01
1.050100000000000000e+04,3.119184131205647859e+01,2.897349425245741728e+01,2.892511641363531538e+01
1.100100000000000000e+04,3.110399017714030379e+01,2.870863394882900366e+01,2.830740809073341424e+01
1.150100000000000000e+04,3.086467754837332578e+01,2.837493715277566864e+01,2.828187188401776808e+01
1.200100000000000000e+04,3.106217916752586206e+01,2.832716015324806236e+01,2.849617542364547518e+01
1.250100000000000000e+04,3.003163842098839709e+01,2.746838062269533509e+01,2.824928050021699022e+01
1.300100000000000000e+04,2.976129835887044806e+01,2.742429763064633974e+01,2.767863269917492630e+01
1.350100000000000000e+04,2.863781656253426533e+01,2.714136948436026486e+01,2.780210586559644526e+01
1.400100000000000000e+04,2.785084682736184192e+01,2.704432399702605494e+01,2.722962895050643439e+01
1.450100000000000000e+04,2.660259106737728629e+01,2.651540393675224649e+01,2.693549742784997392e+01
1.500100000000000000e+04,2.679189636743318559e+01,2.643947096244108153e+01,2.705213384300586199e+01
1.550100000000000000e+04,2.661412245974996438e+01,2.640361855280267989e+01,2.728241356876644730e+01
1.600100000000000000e+04,2.616185953986114043e+01,2.621305096207452578e+01,2.718636439245914715e+01
1.650100000000000000e+04,2.575696658254145177e+01,2.592569644360540693e+01,2.689420962457510100e+01
1.700100000000000000e+04,2.552090712363228420e+01,2.541188592822843617e+01,2.622218827784514872e+01
1.750100000000000000e+04,2.588240558424611493e+01,2.554551624064525228e+01,2.530196448501553164e+01
1.800100000000000000e+04,2.595445746822431587e+01,2.494019354058021420e+01,2.519305893974325272e+01
1.850100000000000000e+04,2.583025946152662655e+01,2.423572269759027265e+01,2.475187454542553667e+01
1.900100000000000000e+04,2.643985924114873143e+01,2.421807045723132745e+01,2.422863109315551355e+01
1.950100000000000000e+04,2.647628282797521138e+01,2.495331671070718471e+01,2.462395703835759875e+01
2.000100000000000000e+04,2.649218692439048084e+01,2.529367939729423753e+01,2.477408331908545591e+01
2.050100000000000000e+04,2.583800299931153788e+01,2.587884359028563352e+01,2.438587871704187293e+01
2.100100000000000000e+04,2.531815938695014978e+01,2.536836681644185987e+01,2.411073782745897631e+01
2.150100000000000000e+04,2.489984437665382799e+01,2.472480393576686097e+01,2.367407709850272823e+01
2.200100000000000000e+04,2.476337709811708621e+01,2.413905697641103387e+01,2.334100572064272683e+01
2.250100000000000000e+04,2.454935939954024349e+01,2.398114985937989374e+01,2.300876326922937665e+01
2.300100000000000000e+04,2.421226035191289938e+01,2.380271333507508658e+01,2.294647034441426570e+01
2.350100000000000000e+04,2.386295538884591849e+01,2.330618018646152478e+01,2.266395121003728264e+01
2.400100000000000000e+04,2.333529889377092914e+01,2.295116432653355787e+01,2.218026501530176020e+01
2.450100000000000000e+04,2.317687088488265701e+01,2.280780373117898918e+01,2.171716034118438543e+01
2.500100000000000000e+04,2.275753436775579530e+01,2.278092102543954311e+01,2.150195837066078042e+01
2.550100000000000000e+04,2.252959661793570945e+01,2.258996797379686328e+01,2.154026372284192092e+01
2.600100000000000000e+04,2.233892438138309799e+01,2.181557134004227905e+01,2.150317699704427454e+01
2.650100000000000000e+04,2.266475174185687891e+01,2.173619910615076378e+01,2.104524416306171020e+01
2.700100000000000000e+04,2.286730995853217507e+01,2.185804385831753649e+01,2.085082362716888227e+01
2.750100000000000000e+04,2.255925066044495253e+01,2.177701760048267943e+01,2.052540302988202470e+01
2.800100000000000000e+04,2.250063099624998841e+01,2.169864729519125390e+01,2.035212021267534510e+01
2.850100000000000000e+04,2.252278048095764973e+01,2.194700161671493888e+01,2.036800517459108661e+01
2.900100000000000000e+04,2.212109406856125204e+01,2.209145178894836548e+01,2.014803033284699296e+01
2.950100000000000000e+04,2.179473662560712910e+01,2.213757674245408325e+01,2.068791269126214516e+01
3.000100000000000000e+04,2.178543224077186835e+01,2.174465163311798221e+01,2.052568206375351068e+01
3.050100000000000000e+04,2.140785416844303057e+01,2.129430303789938250e+01,2.077421588593100665e+01
3.100100000000000000e+04,2.121876626973726943e+01,2.038698533625022336e+01,2.063455565385045176e+01
3.150100000000000000e+04,2.068280985699381702e+01,1.980514883697653516e+01,2.081703450518023857e+01
3.200100000000000000e+04,2.073150133049068700e+01,1.926139140772350089e+01,2.063309638265546653e+01
3.250100000000000000e+04,2.035386731090457957e+01,1.856289992193190841e+01,2.055095572746640897e+01
3.300100000000000000e+04,1.993291195023360274e+01,1.806035714565473782e+01,2.071054785374068530e+01
3.350100000000000000e+04,2.018510928214805134e+01,1.754200676164663264e+01,2.076102833817559912e+01
3.400100000000000000e+04,2.039861698015884173e+01,1.706387724640976700e+01,2.128313353771337546e+01
3.450100000000000000e+04,2.047747843315414684e+01,1.698312659196781027e+01,2.120156130172144771e+01
3.500100000000000000e+04,2.032708405831176535e+01,1.732920322613295383e+01,2.099766985876042469e+01
3.550100000000000000e+04,1.975875138660811459e+01,1.734298356503033034e+01,2.064158933585790479e+01
3.600100000000000000e+04,1.943797488441088817e+01,1.736626272387037417e+01,2.001359307932293774e+01
3.650100000000000000e+04,1.978961811181171271e+01,1.779133711672297835e+01,1.890286398669210755e+01
3.700100000000000000e+04,2.019609146136706457e+01,1.766479777795401418e+01,1.844167644398300965e+01
3.750100000000000000e+04,2.011145155119913142e+01,1.794702151957744007e+01,1.834311028061623006e+01
3.800100000000000000e+04,1.960035083398060962e+01,1.816019326125771727e+01,1.823393319200309648e+01
3.850100000000000000e+04,1.923042899435548136e+01,1.800281906516140396e+01,1.767148113216200755e+01
3.900100000000000000e+04,1.836346578375602689e+01,1.785057356633378234e+01,1.758441701937101698e+01
3.950100000000000000e+04,1.790648052441262905e+01,1.767094705263644983e+01,1.735790944820988813e+01
4.000100000000000000e+04,1.756964314930680615e+01,1.725143751188444696e+01,1.709923895376407543e+01
4.050100000000000000e+04,1.775986370771098777e+01,1.701693701304142081e+01,1.705283122678177676e+01
4.100100000000000000e+04,1.764784123750867550e+01,1.657114013397244889e+01,1.733180460893656516e+01
4.150100000000000000e+04,1.757800853312110334e+01,1.658535089357661718e+01,1.698652994474879208e+01
4.200100000000000000e+04,1.678090028853704752e+01,1.660289426639415566e+01,1.664913740951610066e+01
4.250100000000000000e+04,1.606809932416195608e+01,1.665832643575306449e+01,1.602646107526013353e+01
4.300100000000000000e+04,1.582628117867574247e+01,1.649504808831224167e+01,1.539544240775201089e+01
4.350100000000000000e+04,1.573500625613415771e+01,1.597131732111454738e+01,1.475783859884722915e+01
4.400100000000000000e+04,1.549343629849148485e+01,1.557607141783774196e+01,1.520200962131361067e+01
4.450100000000000000e+04,1.537023864420284092e+01,1.538496369687328169e+01,1.534489492692868140e+01
4.500100000000000000e+04,1.528133930655708994e+01,1.548115926577586698e+01,1.517861918032979673e+01
4.550100000000000000e+04,1.534980475063357375e+01,1.519711655511289372e+01,1.487164688137293567e+01
4.600100000000000000e+04,1.543168018843315537e+01,1.513577682723665774e+01,1.473320030584307716e+01
4.650100000000000000e+04,1.523367040768021141e+01,1.520683479360864787e+01,1.423434759706766961e+01
4.700100000000000000e+04,1.478106653360641332e+01,1.510527397222929125e+01,1.393101975050359798e+01
4.750100000000000000e+04,1.439468794966385445e+01,1.479482297129013979e+01,1.362732546716051552e+01
4.800100000000000000e+04,1.413450560992238536e+01,1.492136450241396339e+01,1.344324837002718631e+01
4.850100000000000000e+04,1.409975976857923818e+01,1.463604907522378795e+01,1.362049714972272163e+01
4.900100000000000000e+04,1.409552911454424873e+01,1.464348990824171892e+01,1.429617364596115436e+01
4.950100000000000000e+04,1.402361025936865069e+01,1.433306394018008767e+01,1.464973182264976614e+01
5.000100000000000000e+04,1.369007961332132339e+01,1.383340463045523627e+01,1.420903414809013476e+01
5.050100000000000000e+04,1.341854630733165799e+01,1.322148266774032166e+01,1.411668507116977089e+01
5.100100000000000000e+04,1.323227469577374293e+01,1.287705629035152910e+01,1.365363829334627788e+01
5.150100000000000000e+04,1.288461791368800924e+01,1.304798308486655323e+01,1.343969627370097797e+01
5.200100000000000000e+04,1.295794017539656195e+01,1.317943584485077935e+01,1.311224679016902073e+01
