episode,agent0
1.000000000000000000e+00,-2.920907398024240109e+01
5.010000000000000000e+02,-2.647246844271547417e+01
1.001000000000000000e+03,-2.431200751957334916e+01
1.501000000000000000e+03,-2.164978979193952568e+01
2.001000000000000000e+03,-1.924862768996734275e+01
2.501000000000000000e+03,-1.714268512296409952e+01
3.001000000000000000e+03,-1.515931032469169182e+01
3.501000000000000000e+03,-1.377615574784755026e+01
4.001000000000000000e+03,-1.220635781808570464e+01
4.501000000000000000e+03,-1.086448525642076390e+01
5.001000000000000000e+03,-9.609304522782894153e+00
5.501000000000000000e+03,-8.667582031168759471e+00
6.001000000000000000e+03,-7.321152639346627744e+00
6.501000000000000000e+03,-6.546870491986872764e+00
7.001000000000000000e+03,-5.147057788309902016e+00
7.501000000000000000e+03,-4.695760149842246101e+00
8.001000000000000000e+03,-4.013609632341344380e+00
8.501000000000000000e+03,-3.546691941501818768e+00
9.001000000000000000e+03,-3.275881779263719373e+00
9.501000000000000000e+03,-3.000630333582462228e+00
1.000100000000000000e+04,-2.807301313183790281e+00
1.050100000000000000e+04,-2.686585844906953735e+00
1.100100000000000000e+04,-2.583534382988471378e+00
1.150100000000000000e+04,-2.418962846856997917e+00
1.200100000000000000e+04,-2.339029764292265501e+00
1.250100000000000000e+04,-2.515717904877633693e+00
1.300100000000000000e+04,-2.505596675342425694e+00
1.350100000000000000e+04,-2.702309519576929997e+00
1.400100000000000000e+04,-2.994789623848654436e+00
1.450100000000000000e+04,-2.667369598201907444e+00
1.500100000000000000e+04,-2.816377896547829440e+00
1.550100000000000000e+04,-2.562584476871407446e+00
1.600100000000000000e+04,-2.615711663635004847e+00
1.650100000000000000e+04,-2.512238463939469924e+00
1.700100000000000000e+04,-2.672167875906528156e+00
1.750100000000000000e+04,-2.628202400986545673e+00
1.800100000000000000e+04,-2.691599224194578976e+00
1.850100000000000000e+04,-2.642939252640344350e+00
1.900100000000000000e+04,-2.604414411497987025e+00
1.950100000000000000e+04,-2.368900170845693154e+00
2.000100000000000000e+04,-2.384203484091993452e+00
2.050100000000000000e+04,-2.300083325231144560e+00
2.100100000000000000e+04,-2.269540433985311800e+00
2.150100000000000000e+04,-2.282519898520530610e+00
2.200100000000000000e+04,-2.076785867358443394e+00
2.250100000000000000e+04,-2.150410517668128740e+00
2.300100000000000000e+04,-2.298313955071447978e+00
2.350100000000000000e+04,-2.430291556849225820e+00
2.400100000000000000e+04,-2.431672560397456273e+00
