episode,score
0.000000000000000000e+00,2.228836597983671552e+01
1.000000000000000000e+00,2.208702958391155491e+01
2.000000000000000000e+00,2.220286946695305019e+01
3.000000000000000000e+00,2.226947929571229423e+01
4.000000000000000000e+00,2.232691232648723556e+01
5.000000000000000000e+00,2.239108956384871618e+01
6.000000000000000000e+00,2.217524915050406520e+01
7.000000000000000000e+00,2.242203382229269337e+01
8.000000000000000000e+00,2.235166634045393863e+01
9.000000000000000000e+00,2.234210693014414417e+01
1.000000000000000000e+01,2.216789260225407787e+01
1.100000000000000000e+01,2.237812656658405785e+01
1.200000000000000000e+01,2.223623901568015881e+01
1.300000000000000000e+01,2.243256486865225696e+01
1.400000000000000000e+01,2.237204211186848113e+01
1.500000000000000000e+01,2.252611972187251865e+01
1.600000000000000000e+01,2.251046129654273642e+01
1.700000000000000000e+01,2.235006123296234648e+01
1.800000000000000000e+01,2.248309449728453302e+01
1.900000000000000000e+01,2.253973017041627713e+01
2.000000000000000000e+01,2.242127843047196478e+01
2.100000000000000000e+01,2.256004874305474317e+01
2.200000000000000000e+01,2.244138247510588968e+01
2.300000000000000000e+01,2.263047032091441224e+01
2.400000000000000000e+01,2.264105252363157916e+01
2.500000000000000000e+01,2.245699230462263429e+01
2.600000000000000000e+01,2.267726346385955338e+01
2.700000000000000000e+01,2.254284508691802102e+01
2.800000000000000000e+01,2.267884540615903433e+01
2.900000000000000000e+01,2.251656731700410674e+01
3.000000000000000000e+01,2.255697238432553675e+01
3.100000000000000000e+01,2.264691475130399922e+01
3.200000000000000000e+01,2.274527003423699867e+01
3.300000000000000000e+01,2.277463369826554995e+01
3.400000000000000000e+01,2.264069878172684369e+01
3.500000000000000000e+01,2.285772878910271899e+01
3.600000000000000000e+01,2.267189032376525049e+01
3.700000000000000000e+01,2.262277063198903093e+01
3.800000000000000000e+01,2.269618450143224919e+01
3.900000000000000000e+01,2.273059335055676655e+01
4.000000000000000000e+01,2.298355879800206836e+01
4.100000000000000000e+01,2.285824142013516891e+01
