episode,agent0,agent1,agent2
1.000000000000000000e+00,2.285305769981448876e+01,2.181089593704949081e+01,2.332861749250344019e+01
5.010000000000000000e+02,2.267483258917682676e+01,2.213508980257044456e+01,2.331554775890355202e+01
1.001000000000000000e+03,2.296141525043946174e+01,2.219246129021661673e+01,2.369795313732796771e+01
1.501000000000000000e+03,2.304687229981107066e+01,2.260220016378260155e+01,2.394899657433999351e+01
2.001000000000000000e+03,2.359560061564693711e+01,2.309077823658130768e+01,2.432169920458213497e+01
2.501000000000000000e+03,2.405167245648458518e+01,2.355069645053756133e+01,2.523058352046891173e+01
3.001000000000000000e+03,2.462530998050578290e+01,2.434860323325485965e+01,2.588932974506659690e+01
3.501000000000000000e+03,2.517681361704966392e+01,2.500698402755550731e+01,2.697940387353350289e+01
4.001000000000000000e+03,2.587940981733367707e+01,2.569354522665079799e+01,2.804678836644970730e+01
4.501000000000000000e+03,2.666326105204067787e+01,2.635200711137762042e+01,2.847640047012092879e+01
5.001000000000000000e+03,2.734741790244404669e+01,2.715756227251534582e+01,2.906979196241125507e+01
5.501000000000000000e+03,2.845461091014311350e+01,2.778983077330220652e+01,2.989078750896904779e+01
6.001000000000000000e+03,2.929636209305179406e+01,2.872323702381236998e+01,3.070446146459270409e+01
6.501000000000000000e+03,3.000246790605156022e+01,2.945047996811911872e+01,3.177500762184689975e+01
7.001000000000000000e+03,3.089078735119417729e+01,2.995621901761642292e+01,3.237095253450110022e+01
7.501000000000000000e+03,3.146701827309045996e+01,3.069446194386599558e+01,3.302363742984979211e+01
8.001000000000000000e+03,3.233506064687708204e+01,3.144156785880068838e+01,3.379742931844568687e+01
8.501000000000000000e+03,3.326257894761076273e+01,3.209273950350520721e+01,3.436421005418623054e+01
9.001000000000000000e+03,3.360708671414145954e+01,3.275166827433594818e+01,3.482385355188657883e+01
9.501000000000000000e+03,3.436012944115227441e+01,3.306021376311386462e+01,3.559407562215666587e+01
1.000100000000000000e+04,3.498211352016384268e+01,3.344148918096172451e+01,3.590988909587215261e+01
1.050100000000000000e+04,3.567441264857782812e+01,3.420576522971454381e+01,3.649533521254204516e+01
1.100100000000000000e+04,3.611124381892089019e+01,3.458793659884286598e+01,3.649599871980516497e+01
1.150100000000000000e+04,3.661987496531715891e+01,3.505296927946276497e+01,3.723775121788248299e+01
1.200100000000000000e+04,3.708904840514848189e+01,3.569557777875740356e+01,3.755750882721897455e+01
1.250100000000000000e+04,3.736866443448553810e+01,3.559904160656623162e+01,3.791724071171429244e+01
1.300100000000000000e+04,3.787784649714435403e+01,3.618095062753283031e+01,3.832761843194695217e+01
1.350100000000000000e+04,3.795101989606493476e+01,3.645875074310131225e+01,3.880569214341867479e+01
1.400100000000000000e+04,3.835306166383389126e+01,3.694699767245665356e+01,3.894251321817111489e+01
1.450100000000000000e+04,3.827719470990135164e+01,3.714957706061731102e+01,3.924911822998234356e+01
1.500100000000000000e+04,3.878318796484191466e+01,3.730606541780656471e+01,3.988062088861276777e+01
1.550100000000000000e+04,3.922945920058182878e+01,3.763046209346796900e+01,4.013378136051132827e+01
