episode,score
0.000000000000000000e+00,2.285305769981448876e+01
1.000000000000000000e+00,2.258125786467700280e+01
2.000000000000000000e+00,2.269494729757970930e+01
3.000000000000000000e+00,2.276594538075358898e+01
4.000000000000000000e+00,2.287989676214239765e+01
5.000000000000000000e+00,2.285586815973890751e+01
6.000000000000000000e+00,2.273933004737684271e+01
7.000000000000000000e+00,2.291225021106730608e+01
8.000000000000000000e+00,2.284687957565496319e+01
9.000000000000000000e+00,2.280251433650913739e+01
1.000000000000000000e+01,2.267483258917682676e+01
1.100000000000000000e+01,2.287705945185630796e+01
1.200000000000000000e+01,2.271335629940228884e+01
1.300000000000000000e+01,2.294138637204924080e+01
1.400000000000000000e+01,2.289342387989972138e+01
1.500000000000000000e+01,2.300918656051011624e+01
1.600000000000000000e+01,2.299770866579719097e+01
1.700000000000000000e+01,2.285950202281341603e+01
1.800000000000000000e+01,2.291009934002435955e+01
1.900000000000000000e+01,2.308303656176909158e+01
2.000000000000000000e+01,2.296141525043946174e+01
2.100000000000000000e+01,2.303084554461174704e+01
2.200000000000000000e+01,2.298248793825899128e+01
2.300000000000000000e+01,2.313289862833916999e+01
2.400000000000000000e+01,2.311416443708842650e+01
2.500000000000000000e+01,2.292966687780069535e+01
2.600000000000000000e+01,2.321363954379468097e+01
2.700000000000000000e+01,2.310813697286685553e+01
2.800000000000000000e+01,2.321103937605886358e+01
2.900000000000000000e+01,2.306691746365891760e+01
3.000000000000000000e+01,2.304687229981107066e+01
3.100000000000000000e+01,2.322288705080943672e+01
3.200000000000000000e+01,2.330555165355730907e+01
3.300000000000000000e+01,2.329105097236749344e+01
3.400000000000000000e+01,2.325512576188010172e+01
3.500000000000000000e+01,2.345246086864291257e+01
3.600000000000000000e+01,2.326220473676331935e+01
3.700000000000000000e+01,2.320728790846898093e+01
3.800000000000000000e+01,2.326444496469866152e+01
3.900000000000000000e+01,2.330191488389170829e+01
4.000000000000000000e+01,2.359560061564693711e+01
4.100000000000000000e+01,2.344611168617284491e+01
4.200000000000000000e+01,2.353279876190188702e+01
4.300000000000000000e+01,2.365679147059391951e+01
4.400000000000000000e+01,2.380412346977348648e+01
4.500000000000000000e+01,2.374604655676889209e+01
4.600000000000000000e+01,2.390194621619891180e+01
4.700000000000000000e+01,2.405094422972270962e+01
4.800000000000000000e+01,2.394555957181844974e+01
4.900000000000000000e+01,2.404473878270946585e+01
5.000000000000000000e+01,2.405167245648458518e+01
5.100000000000000000e+01,2.424715630681204814e+01
5.200000000000000000e+01,2.422096462609246714e+01
5.300000000000000000e+01,2.423959232801179198e+01
5.400000000000000000e+01,2.432434110820391382e+01
5.500000000000000000e+01,2.435017545441214892e+01
5.600000000000000000e+01,2.457703896971909785e+01
5.700000000000000000e+01,2.455413180144553209e+01
5.800000000000000000e+01,2.456481468360871290e+01
5.900000000000000000e+01,2.459866250632919105e+01
6.000000000000000000e+01,2.462530998050578290e+01
6.100000000000000000e+01,2.457504728120702353e+01
6.200000000000000000e+01,2.462891598224051748e+01
6.300000000000000000e+01,2.474095804669844867e+01
6.400000000000000000e+01,2.489648903099526223e+01
6.500000000000000000e+01,2.478853741750856443e+01
6.600000000000000000e+01,2.516943153784169240e+01
6.700000000000000000e+01,2.503259223896569097e+01
6.800000000000000000e+01,2.517750909395123671e+01
6.900000000000000000e+01,2.528543030731282215e+01
7.000000000000000000e+01,2.517681361704966392e+01
7.100000000000000000e+01,2.531555110307900236e+01
7.200000000000000000e+01,2.520449857239954383e+01
7.300000000000000000e+01,2.551633408012358473e+01
7.400000000000000000e+01,2.541562322114496197e+01
7.500000000000000000e+01,2.556878204329625603e+01
7.600000000000000000e+01,2.564210430863558443e+01
7.700000000000000000e+01,2.586058616939833499e+01
7.800000000000000000e+01,2.579818735610595581e+01
7.900000000000000000e+01,2.576863880298639131e+01
8.000000000000000000e+01,2.587940981733367707e+01
8.100000000000000000e+01,2.606776835275421789e+01
8.200000000000000000e+01,2.609007724033962461e+01
8.300000000000000000e+01,2.616231193483169903e+01
8.400000000000000000e+01,2.627928593066766538e+01
8.500000000000000000e+01,2.652999254624653602e+01
8.600000000000000000e+01,2.631884611202893964e+01
8.700000000000000000e+01,2.660306032371951801e+01
8.800000000000000000e+01,2.670053068130815888e+01
8.900000000000000000e+01,2.668433525098781800e+01
9.000000000000000000e+01,2.666326105204067787e+01
9.100000000000000000e+01,2.660103847136525346e+01
9.200000000000000000e+01,2.685284733164663251e+01
9.300000000000000000e+01,2.686666935367902198e+01
9.400000000000000000e+01,2.698244085461979580e+01
9.500000000000000000e+01,2.708284588664378134e+01
9.600000000000000000e+01,2.742969351886722507e+01
9.700000000000000000e+01,2.731067145260639251e+01
9.800000000000000000e+01,2.757926910195303449e+01
9.900000000000000000e+01,2.744372662671743157e+01
1.000000000000000000e+02,2.734741790244404669e+01
1.010000000000000000e+02,2.742646600725031192e+01
1.020000000000000000e+02,2.755384287347282068e+01
1.030000000000000000e+02,2.769806845960108888e+01
1.040000000000000000e+02,2.771590135993730541e+01
1.050000000000000000e+02,2.800668883535815112e+01
1.060000000000000000e+02,2.813079694400345332e+01
1.070000000000000000e+02,2.820459093334349632e+01
1.080000000000000000e+02,2.819502146009551780e+01
1.090000000000000000e+02,2.832663665591886115e+01
1.100000000000000000e+02,2.845461091014311350e+01
1.110000000000000000e+02,2.849442590774478390e+01
1.120000000000000000e+02,2.862162529178747050e+01
1.130000000000000000e+02,2.869259513149920338e+01
1.140000000000000000e+02,2.876666722443641078e+01
1.150000000000000000e+02,2.875414017151648949e+01
1.160000000000000000e+02,2.894285569275974623e+01
1.170000000000000000e+02,2.906160300318347822e+01
1.180000000000000000e+02,2.906591759822870458e+01
1.190000000000000000e+02,2.897186059149471760e+01
1.200000000000000000e+02,2.929636209305179406e+01
1.210000000000000000e+02,2.937520840766397967e+01
