episode,agent0,agent1,agent2
1.000000000000000000e+00,2.341774941979226199e+01,2.230157371370436081e+01,2.408560113885845411e+01
5.010000000000000000e+02,2.318177257609957564e+01,2.259071031394934437e+01,2.406793489640059036e+01
1.001000000000000000e+03,2.350155207040695871e+01,2.273078976019917619e+01,2.457351822278407028e+01
1.501000000000000000e+03,2.353677221529660457e+01,2.326317923425300904e+01,2.492563880255175590e+01
2.001000000000000000e+03,2.420764243329180587e+01,2.382396875595239294e+01,2.539362206654301701e+01
2.501000000000000000e+03,2.471888662353230259e+01,2.453716298150011710e+01,2.650702795695079317e+01
3.001000000000000000e+03,2.536827171852435114e+01,2.549901530981049547e+01,2.729467556798540429e+01
3.501000000000000000e+03,2.590753045940807553e+01,2.627936888942372917e+01,2.851204556373946275e+01
4.001000000000000000e+03,2.666611421060880360e+01,2.714916759899709575e+01,2.978139164421783391e+01
4.501000000000000000e+03,2.740122108166758608e+01,2.793589747694907643e+01,3.034477477451353877e+01
5.001000000000000000e+03,2.815791657914319046e+01,2.877307545244296705e+01,3.099260982518485363e+01
5.501000000000000000e+03,2.931376024799539337e+01,2.945414297548578020e+01,3.174735273773261568e+01
6.001000000000000000e+03,3.022669261617206260e+01,3.036920087070125263e+01,3.264151463697060507e+01
6.501000000000000000e+03,3.091907396760007032e+01,3.113295723206353216e+01,3.380368522608936388e+01
7.001000000000000000e+03,3.181056926606592228e+01,3.160857884975467158e+01,3.438715487178117058e+01
7.501000000000000000e+03,3.241028414215003295e+01,3.235783750763575028e+01,3.505614433174068267e+01
8.001000000000000000e+03,3.336528370777278241e+01,3.308083804084936475e+01,3.590876688493828794e+01
8.501000000000000000e+03,3.442067458282227221e+01,3.366278034784484419e+01,3.644134132629757516e+01
9.001000000000000000e+03,3.474637734797352095e+01,3.438221261891522573e+01,3.689067478947082890e+01
9.501000000000000000e+03,3.560027274325992863e+01,3.475151792103991966e+01,3.762713759493572496e+01
1.000100000000000000e+04,3.630234562722709057e+01,3.513154284652279102e+01,3.792533369180797820e+01
1.050100000000000000e+04,3.700975995516051853e+01,3.582467455296067982e+01,3.849179472879300334e+01
1.100100000000000000e+04,3.745960993007349771e+01,3.618758078840549075e+01,3.847226874506338845e+01
1.150100000000000000e+04,3.812221785999177825e+01,3.661861986233183330e+01,3.926147464702523138e+01
1.200100000000000000e+04,3.859458065275795491e+01,3.732469298026914828e+01,3.964161010582809297e+01
1.250100000000000000e+04,3.883088178778077548e+01,3.719939184538242216e+01,4.002663140505342199e+01
1.300100000000000000e+04,3.945727609821358328e+01,3.781732965445521444e+01,4.043870629418142215e+01
1.350100000000000000e+04,3.956734469471525983e+01,3.809478726344715227e+01,4.093447606083646662e+01
1.400100000000000000e+04,3.992917130990386454e+01,3.854534549707836533e+01,4.102181105003721484e+01
1.450100000000000000e+04,3.990454841210210191e+01,3.877997122619710524e+01,4.140172065480883390e+01
1.500100000000000000e+04,4.035344821250529890e+01,3.890959858720928821e+01,4.211546701032088436e+01
1.550100000000000000e+04,4.093255089871267671e+01,3.929787551522976230e+01,4.235661923170685839e+01
1.600100000000000000e+04,4.110405884631379081e+01,3.951447647602915936e+01,4.271375267913969509e+01
1.650100000000000000e+04,4.117858797266629978e+01,3.986152537465993362e+01,4.274483042676109079e+01
1.700100000000000000e+04,4.167521007128610222e+01,3.984264896382034493e+01,4.284072352504627190e+01
1.750100000000000000e+04,4.205263109070599370e+01,4.031631571683390547e+01,4.312452226518105647e+01
1.800100000000000000e+04,4.224220435873131407e+01,4.047446060566796433e+01,4.358116951914391279e+01
1.850100000000000000e+04,4.202537847245577041e+01,4.040633666198369411e+01,4.382769796002188656e+01
1.900100000000000000e+04,4.242016835748683690e+01,4.068152159451969396e+01,4.385702562830249462e+01
1.950100000000000000e+04,4.278808252120376920e+01,4.106068638565575668e+01,4.453559768299320609e+01
2.000100000000000000e+04,4.300725047835006620e+01,4.106950254589469296e+01,4.472618059685585479e+01
2.050100000000000000e+04,4.327038416597346782e+01,4.158510724111503976e+01,4.469950853055554774e+01
2.100100000000000000e+04,4.350653756287601936e+01,4.172741162736843989e+01,4.501302882574788100e+01
2.150100000000000000e+04,4.377172898490842812e+01,4.197644619477726735e+01,4.521885740016891475e+01
2.200100000000000000e+04,4.374663720302541492e+01,4.209330464652487791e+01,4.537020824382674533e+01
2.250100000000000000e+04,4.405081429984678465e+01,4.248030105581936056e+01,4.553463656756760969e+01
2.300100000000000000e+04,4.413019949934437847e+01,4.253579078803247882e+01,4.589275093965800068e+01
2.350100000000000000e+04,4.449011250590670130e+01,4.274226371693423943e+01,4.597044023506116872e+01
2.400100000000000000e+04,4.455630982625375935e+01,4.281887882371924547e+01,4.618755805391952407e+01
2.450100000000000000e+04,4.469009610514260089e+01,4.305780229926181590e+01,4.615289286100966848e+01
2.500100000000000000e+04,4.478619039004536972e+01,4.316704046167060227e+01,4.645386892794389411e+01
2.550100000000000000e+04,4.498956234972568780e+01,4.342420961366910603e+01,4.672677903425086754e+01
2.600100000000000000e+04,4.497678215924663192e+01,4.339191420178026704e+01,4.685742349674799812e+01
