episode,score
0.000000000000000000e+00,2.341774941979226199e+01
1.000000000000000000e+00,2.307548614544245069e+01
2.000000000000000000e+00,2.318702512820636841e+01
3.000000000000000000e+00,2.326241146579488372e+01
4.000000000000000000e+00,2.343288119779755974e+01
5.000000000000000000e+00,2.332064675562909883e+01
6.000000000000000000e+00,2.330341094424962023e+01
7.000000000000000000e+00,2.340246659984191879e+01
8.000000000000000000e+00,2.334209281085598775e+01
9.000000000000000000e+00,2.326292174287413062e+01
1.000000000000000000e+01,2.318177257609957564e+01
1.100000000000000000e+01,2.337599233712855806e+01
1.200000000000000000e+01,2.319047358312441887e+01
1.300000000000000000e+01,2.345020787544622465e+01
1.400000000000000000e+01,2.341480564793096164e+01
1.500000000000000000e+01,2.349225339914771382e+01
1.600000000000000000e+01,2.348495603505164553e+01
1.700000000000000000e+01,2.336894281266448559e+01
1.800000000000000000e+01,2.333710418276418608e+01
1.900000000000000000e+01,2.362634295312190602e+01
2.000000000000000000e+01,2.350155207040695871e+01
2.100000000000000000e+01,2.350164234616875092e+01
2.200000000000000000e+01,2.352359340141209287e+01
2.300000000000000000e+01,2.363532693576392774e+01
2.400000000000000000e+01,2.358727635054527383e+01
2.500000000000000000e+01,2.340234145097875640e+01
2.600000000000000000e+01,2.375001562372980857e+01
2.700000000000000000e+01,2.367342885881569003e+01
2.800000000000000000e+01,2.374323334595869284e+01
2.900000000000000000e+01,2.361726761031372845e+01
3.000000000000000000e+01,2.353677221529660457e+01
3.100000000000000000e+01,2.379885935031487421e+01
3.200000000000000000e+01,2.386583327287761946e+01
3.300000000000000000e+01,2.380746824646943693e+01
3.400000000000000000e+01,2.386955274203335975e+01
3.500000000000000000e+01,2.404719294818310615e+01
3.600000000000000000e+01,2.385251914976138821e+01
3.700000000000000000e+01,2.379180518494893093e+01
3.800000000000000000e+01,2.383270542796507385e+01
3.900000000000000000e+01,2.387323641722665002e+01
4.000000000000000000e+01,2.420764243329180587e+01
4.100000000000000000e+01,2.403398195221052092e+01
4.200000000000000000e+01,2.409811723125125837e+01
4.300000000000000000e+01,2.420978148552716647e+01
4.400000000000000000e+01,2.445687993379295477e+01
4.500000000000000000e+01,2.433498046030605977e+01
4.600000000000000000e+01,2.455138117015002308e+01
4.700000000000000000e+01,2.474084175486635218e+01
4.800000000000000000e+01,2.457602359111033508e+01
4.900000000000000000e+01,2.471887631054951129e+01
5.000000000000000000e+01,2.471888662353230259e+01
5.100000000000000000e+01,2.493163443487622644e+01
5.200000000000000000e+01,2.489869944980515726e+01
5.300000000000000000e+01,2.493945661575066453e+01
5.400000000000000000e+01,2.503302475197491361e+01
5.500000000000000000e+01,2.504309038822950129e+01
5.600000000000000000e+01,2.525067544798153207e+01
5.700000000000000000e+01,2.529507246981518875e+01
5.800000000000000000e+01,2.529663281148806320e+01
5.900000000000000000e+01,2.533721478500386937e+01
6.000000000000000000e+01,2.536827171852435114e+01
6.100000000000000000e+01,2.529553095277863761e+01
6.200000000000000000e+01,2.536304775425653446e+01
6.300000000000000000e+01,2.542701292907791455e+01
6.400000000000000000e+01,2.563214078163284881e+01
6.500000000000000000e+01,2.550712921814720247e+01
6.600000000000000000e+01,2.594866760275223072e+01
6.700000000000000000e+01,2.573501463372465281e+01
6.800000000000000000e+01,2.591730901794950626e+01
6.900000000000000000e+01,2.605804405071328134e+01
7.000000000000000000e+01,2.590753045940807553e+01
7.100000000000000000e+01,2.603891835775640473e+01
7.200000000000000000e+01,2.594673289220175860e+01
7.300000000000000000e+01,2.626280614832228366e+01
7.400000000000000000e+01,2.617074047634143952e+01
7.500000000000000000e+01,2.630560619237901676e+01
7.600000000000000000e+01,2.640294042306504352e+01
7.700000000000000000e+01,2.660669151387168441e+01
7.800000000000000000e+01,2.657468813924003115e+01
7.900000000000000000e+01,2.653396738456325821e+01
8.000000000000000000e+01,2.666611421060880360e+01
8.100000000000000000e+01,2.687703046224679326e+01
8.200000000000000000e+01,2.685530774730741044e+01
8.300000000000000000e+01,2.690196054361106803e+01
8.400000000000000000e+01,2.706686473115321689e+01
8.500000000000000000e+01,2.728987910657281191e+01
8.600000000000000000e+01,2.705840674657733302e+01
8.700000000000000000e+01,2.736083347115732067e+01
8.800000000000000000e+01,2.750891744487326918e+01
8.900000000000000000e+01,2.746297780241575737e+01
9.000000000000000000e+01,2.740122108166758608e+01
9.100000000000000000e+01,2.738735917458722113e+01
9.200000000000000000e+01,2.763099672473415325e+01
9.300000000000000000e+01,2.765270900345365845e+01
9.400000000000000000e+01,2.779810405349075708e+01
9.500000000000000000e+01,2.787561165547276687e+01
9.600000000000000000e+01,2.823204167252288954e+01
9.700000000000000000e+01,2.816321240559031480e+01
9.800000000000000000e+01,2.841223786702864373e+01
9.900000000000000000e+01,2.826990290726316601e+01
1.000000000000000000e+02,2.815791657914319046e+01
1.010000000000000000e+02,2.824040538570342562e+01
1.020000000000000000e+02,2.835526274987664763e+01
1.030000000000000000e+02,2.854702164820427157e+01
1.040000000000000000e+02,2.852886008634639836e+01
1.050000000000000000e+02,2.885922552257117601e+01
1.060000000000000000e+02,2.899736140016996089e+01
1.070000000000000000e+02,2.906726379494569201e+01
1.080000000000000000e+02,2.911399451515463710e+01
