episode,agent0
1.000000000000000000e+00,-2.791243173027089597e+01
5.010000000000000000e+02,-2.503124763007987141e+01
1.001000000000000000e+03,-2.262020899092309278e+01
1.501000000000000000e+03,-1.971829634341155568e+01
2.001000000000000000e+03,-1.780409081752709710e+01
2.501000000000000000e+03,-1.523989166336033207e+01
3.001000000000000000e+03,-1.352416900748566952e+01
3.501000000000000000e+03,-1.172213366678446356e+01
4.001000000000000000e+03,-9.975561123523640106e+00
4.501000000000000000e+03,-8.398945501179694517e+00
5.001000000000000000e+03,-7.078170757002919977e+00
5.501000000000000000e+03,-5.920159507596526538e+00
6.001000000000000000e+03,-4.680348902451065385e+00
6.501000000000000000e+03,-3.886252572478347656e+00
7.001000000000000000e+03,-2.997631491487047661e+00
7.501000000000000000e+03,-2.663639947520783924e+00
8.001000000000000000e+03,-2.127470080518257589e+00
8.501000000000000000e+03,-1.854502051391407891e+00
9.001000000000000000e+03,-1.649288113755734253e+00
9.501000000000000000e+03,-1.390788052391833896e+00
1.000100000000000000e+04,-1.198687203815055557e+00
1.050100000000000000e+04,-1.127977378797738073e+00
1.100100000000000000e+04,-9.667387952756011371e-01
1.150100000000000000e+04,-8.424252593752877827e-01
1.200100000000000000e+04,-7.321088092166283534e-01
1.250100000000000000e+04,-7.092666021000423315e-01
1.300100000000000000e+04,-6.665709110609530086e-01
1.350100000000000000e+04,-5.966093102698708517e-01
1.400100000000000000e+04,-6.170127002770905422e-01
1.450100000000000000e+04,-5.150794345572397015e-01
1.500100000000000000e+04,-4.939687112588412865e-01
1.550100000000000000e+04,-4.235640624407812083e-01
1.600100000000000000e+04,-4.472245725918110870e-01
1.650100000000000000e+04,-4.052505079072770133e-01
1.700100000000000000e+04,-3.889660967114478285e-01
1.750100000000000000e+04,-3.404429384199600950e-01
1.800100000000000000e+04,-3.674911495257898730e-01
1.850100000000000000e+04,-3.257755708533711658e-01
1.900100000000000000e+04,-3.023565348188658741e-01
1.950100000000000000e+04,-2.759694353737530137e-01
2.000100000000000000e+04,-2.847852617432799494e-01
2.050100000000000000e+04,-2.753036126958299801e-01
2.100100000000000000e+04,-2.430012590360452474e-01
2.150100000000000000e+04,-2.306450105677211038e-01
2.200100000000000000e+04,-2.483546715830418639e-01
2.250100000000000000e+04,-2.016442762817232670e-01
2.300100000000000000e+04,-2.347063878710492213e-01
2.350100000000000000e+04,-2.126246552987795246e-01
2.400100000000000000e+04,-2.095773632279847032e-01
2.450100000000000000e+04,-1.894821194508007622e-01
2.500100000000000000e+04,-1.726297133414946006e-01
2.550100000000000000e+04,-1.953833022327633728e-01
2.600100000000000000e+04,-1.753886775234543283e-01
2.650100000000000000e+04,-1.765604916302972727e-01
2.700100000000000000e+04,-1.919385657180743832e-01
2.750100000000000000e+04,-1.621217260491922552e-01
2.800100000000000000e+04,-1.605364028495769313e-01
2.850100000000000000e+04,-1.468386605815845958e-01
2.900100000000000000e+04,-1.509296035343703490e-01
2.950100000000000000e+04,-1.403253386829521332e-01
3.000100000000000000e+04,-1.502861679328407474e-01
3.050100000000000000e+04,-1.313215878475767762e-01
3.100100000000000000e+04,-1.205132827821344954e-01
3.150100000000000000e+04,-1.182065395511170680e-01
3.200100000000000000e+04,-1.217811809591144573e-01
3.250100000000000000e+04,-1.469000232251164439e-01
3.300100000000000000e+04,-1.071235195837622056e-01
3.350100000000000000e+04,-1.240267778857511854e-01
3.400100000000000000e+04,-1.048241386755092430e-01
3.450100000000000000e+04,-1.089996343395071288e-01
3.500100000000000000e+04,-1.085642673537316888e-01
3.550100000000000000e+04,-9.590897491313223056e-02
3.600100000000000000e+04,-9.647869622758044328e-02
3.650100000000000000e+04,-7.863484448208037103e-02
3.700100000000000000e+04,-8.168012871857961710e-02
3.750100000000000000e+04,-7.201320308878438048e-02
3.800100000000000000e+04,-6.583270505177148124e-02
