episode,agent0
1.000000000000000000e+00,-2.628849417996081428e+01
5.010000000000000000e+02,-2.333408661560386932e+01
1.001000000000000000e+03,-2.077674065068254805e+01
1.501000000000000000e+03,-1.787044551796308767e+01
2.001000000000000000e+03,-1.600674764392257998e+01
2.501000000000000000e+03,-1.348758570795615341e+01
3.001000000000000000e+03,-1.167500876725945957e+01
3.501000000000000000e+03,-9.962404747155028772e+00
4.001000000000000000e+03,-8.148602915786968381e+00
4.501000000000000000e+03,-6.792444456811230324e+00
5.001000000000000000e+03,-5.639585176371716635e+00
5.501000000000000000e+03,-4.645916473073111952e+00
6.001000000000000000e+03,-3.624964177079183614e+00
6.501000000000000000e+03,-3.019230483166380097e+00
7.001000000000000000e+03,-2.317991265736958795e+00
7.501000000000000000e+03,-2.064520053502391317e+00
8.001000000000000000e+03,-1.685392564025063766e+00
8.501000000000000000e+03,-1.477097212998823350e+00
9.001000000000000000e+03,-1.316347821666200568e+00
9.501000000000000000e+03,-1.135412712751923348e+00
1.000100000000000000e+04,-9.510337999107836282e-01
1.050100000000000000e+04,-9.133350487730685918e-01
1.100100000000000000e+04,-7.619862715553850085e-01
1.150100000000000000e+04,-6.671775899397400789e-01
1.200100000000000000e+04,-5.823495184124988233e-01
1.250100000000000000e+04,-5.407048075088408678e-01
1.300100000000000000e+04,-5.071491918857533587e-01
1.350100000000000000e+04,-4.482373922771959451e-01
1.400100000000000000e+04,-4.496345557527456904e-01
1.450100000000000000e+04,-3.793277702324834300e-01
1.500100000000000000e+04,-3.586413947581144623e-01
1.550100000000000000e+04,-2.987801241537705876e-01
1.600100000000000000e+04,-3.148710384067623380e-01
1.650100000000000000e+04,-2.735868153021184801e-01
1.700100000000000000e+04,-2.635011602616583737e-01
1.750100000000000000e+04,-2.188871551594510634e-01
1.800100000000000000e+04,-2.262403215404965029e-01
1.850100000000000000e+04,-1.965833085619806408e-01
1.900100000000000000e+04,-1.898338553075620272e-01
1.950100000000000000e+04,-1.666170136324983120e-01
2.000100000000000000e+04,-1.616598784330343097e-01
2.050100000000000000e+04,-1.717311849533223189e-01
2.100100000000000000e+04,-1.213706341624899709e-01
2.150100000000000000e+04,-1.302140946464216686e-01
2.200100000000000000e+04,-1.385105796606029838e-01
2.250100000000000000e+04,-1.126862035548628904e-01
2.300100000000000000e+04,-1.294516795834452783e-01
2.350100000000000000e+04,-1.169353769838266111e-01
2.400100000000000000e+04,-1.072307882949745661e-01
2.450100000000000000e+04,-1.009303088089561345e-01
2.500100000000000000e+04,-8.214296784186442268e-02
2.550100000000000000e+04,-8.800613668031363745e-02
2.600100000000000000e+04,-9.506199514975118003e-02
2.650100000000000000e+04,-9.095832731408005911e-02
2.700100000000000000e+04,-9.391280950314428999e-02
2.750100000000000000e+04,-7.746186442063224264e-02
2.800100000000000000e+04,-7.447378248715735838e-02
2.850100000000000000e+04,-6.633960367379672374e-02
2.900100000000000000e+04,-7.078789090990697530e-02
2.950100000000000000e+04,-6.346660035518165988e-02
3.000100000000000000e+04,-6.203433381795891988e-02
3.050100000000000000e+04,-5.663101799103087419e-02
3.100100000000000000e+04,-5.787627099127067021e-02
